,ST1_may_20,ST1_jun_20,ST1_jul_20,ST1_aug_20,ST1_sep_20,ST1_may_21,ST1_jun_21,ST1_jul_21,ST1_aug_21,ST1_sep_21,ST1_jun_22,ST1_jul_22,ST1_aug_22,ST1_sep_22,ST1_may_23,ST1_jun_23,ST1_jul_23,ST1_aug_23,ST1_total_20,ST1_total_21,ST1_total_22,ST2_may_20,ST2_jun_20,ST2_jul_20,ST2_aug_20,ST2_sep_20,ST2_may_21,ST2_jun_21,ST2_jul_21,ST2_aug_21,ST2_sep_21,ST2_jun_22,ST2_jul_22,ST2_aug_22,ST2_sep_22,ST2_may_23,ST2_jun_23,ST2_jul_23,ST2_aug_23,ST2_all_yield
ST1_total_21,0.473569976684604,0.586707794674876,0.489641323660152,0.555174786745331,0.38873594960827,0.815139327968201,0.741385128989874,0.791187019973944,0.77214217234644,0.601602119602313,0.446363783899503,0.60387387174891,0.460445266270218,0.566787816686478,0.487649001966496,0.383074342542689,0.411344413421285,0.284810727375694,0.606571991112156,1,0.614937418146002,0.849948943988659,0.849951716879711,0.849948218715286,0.84995171687971,0.835683477285632,0.84995171687971,0.849951716879711,0.84995171687971,0.84995171687971,0.84995171687971,0.812383924481983,0.84995171687971,0.84995171687971,0.84995171687971,0.84994127651812,0.849951716879711,0.84995171687971,0.84995171687971,0.846820977632705
ST1_total_22,0.416254964665619,0.591376018986812,0.472382663438432,0.546627462221294,0.453222406756952,0.564768686078366,0.514399165453758,0.502326584788132,0.431940828228051,0.363104683495875,0.804245734922461,0.733627920332249,0.688896897905076,0.634087793422367,0.49378088806346,0.460889840470957,0.357642735682785,0.276828214793446,0.619496819279799,0.614937418146002,1,0.791707559487003,0.791711476194679,0.79170873834817,0.791711476194679,0.789117594107006,0.791711476194679,0.791711476194679,0.791711476194678,0.791711476194679,0.791711476194678,0.852920161160217,0.791711476194679,0.791711476194679,0.791711476194679,0.791709505923926,0.791711476194679,0.791711476194678,0.791711476194679,0.800989091769472
ST2_may_20,0.638208492885202,0.774831887214618,0.663742749457022,0.722466517160922,0.550424862099696,0.679535237798379,0.732236087402119,0.775650628737501,0.689129025703963,0.536154955070107,0.611805908370383,0.758915386765594,0.620347468964115,0.695660327789396,0.628545079185961,0.55921523851317,0.550125235978258,0.379002179660939,0.840046066653522,0.849948943988659,0.791707559487003,1,0.999999999398107,0.999999998726681,0.999999999398107,0.995083580849568,0.999999999398107,0.999999999398107,0.999999999398107,0.999999999398107,0.999999999398107,0.981297578902415,0.999999999398107,0.999999999398107,0.999999999398107,0.999999971554124,0.999999999398107,0.999999999398107,0.999999999398107,0.999703791180302
ST2_jun_20,0.63818298246027,0.774829524633571,0.663742668723523,0.722469719939964,0.550425007688115,0.679538404139356,0.732236473209417,0.775653973540945,0.68913049365012,0.536157047242697,0.6118089607946,0.758917085851416,0.620351282037175,0.695661219099306,0.62854958725168,0.559219283229069,0.550128752526134,0.379004627869742,0.840038188021079,0.849951716879711,0.791711476194679,0.999999999398107,1,0.999999999326188,1,0.995083642200688,1,1,1,1,1,0.981298327877677,1,1,1,0.999999973520433,1,1,1,0.999703886299812
ST2_jul_20,0.638184381006226,0.774831397230709,0.663769890945168,0.722469335199109,0.550427784921322,0.679533894196759,0.732233736350761,0.775651049025702,0.689127234206223,0.536154115283306,0.611810474321416,0.758912329557238,0.620346142180436,0.695657193870928,0.628544314319801,0.55921422420612,0.55012435545964,0.379003877529134,0.840048050978998,0.849948218715286,0.79170873834817,0.999999998726681,0.999999999326188,1,0.999999999326188,0.995083989641952,0.999999999326188,0.999999999326188,0.999999999326188,0.999999999326188,0.999999999326188,0.981298697208949,0.999999999326188,0.999999999326188,0.999999999326188,0.999999971366838,0.999999999326188,0.999999999326187,0.999999999326188,0.999703937695775
ST2_aug_20,0.63818298246027,0.774829524633571,0.663742668723523,0.722469719939964,0.550425007688115,0.679538404139355,0.732236473209417,0.775653973540945,0.68913049365012,0.536157047242697,0.611808960794601,0.758917085851416,0.620351282037175,0.695661219099306,0.628549587251679,0.559219283229069,0.550128752526134,0.379004627869742,0.840038188021079,0.84995171687971,0.791711476194679,0.999999999398107,1,0.999999999326188,1,0.995083642200688,1,1,1,1,1,0.981298327877677,1,1,1,0.999999973520433,1,1,1,0.999703886299812
ST2_sep_20,0.636888729378335,0.766568996354263,0.668015924283609,0.730492947186872,0.629652196223988,0.658766437732646,0.725209067761175,0.764947556456389,0.674818549525,0.53464504583152,0.620035352693613,0.745197794982649,0.611540048063017,0.679303200487486,0.608772316164569,0.538839314947291,0.533415805237617,0.388382414744064,0.853385761426709,0.835683477285632,0.789117594107006,0.995083580849568,0.995083642200688,0.995083989641952,0.995083642200688,1,0.995083642200688,0.995083642200688,0.995083642200688,0.995083642200688,0.995083642200688,0.979231539858756,0.995083642200688,0.995083642200688,0.995083642200688,0.995078045021886,0.995083642200688,0.995083642200688,0.995083642200688,0.995299745696588
ST2_may_21,0.638182982460271,0.774829524633571,0.663742668723523,0.722469719939964,0.550425007688115,0.679538404139355,0.732236473209417,0.775653973540946,0.68913049365012,0.536157047242697,0.611808960794601,0.758917085851416,0.620351282037174,0.695661219099306,0.628549587251679,0.559219283229069,0.550128752526134,0.379004627869742,0.840038188021079,0.84995171687971,0.791711476194679,0.999999999398107,1,0.999999999326188,1,0.995083642200688,1,1,1,1,1,0.981298327877677,1,1,1,0.999999973520433,1,1,1,0.999703886299812
ST2_jun_21,0.63818298246027,0.774829524633571,0.663742668723522,0.722469719939964,0.550425007688115,0.679538404139356,0.732236473209418,0.775653973540946,0.68913049365012,0.536157047242697,0.611808960794601,0.758917085851416,0.620351282037175,0.695661219099306,0.62854958725168,0.559219283229069,0.550128752526133,0.379004627869741,0.840038188021079,0.849951716879711,0.791711476194679,0.999999999398107,1,0.999999999326188,1,0.995083642200688,1,1,1,1,1,0.981298327877677,1,1,1,0.999999973520433,1,1,1,0.999703886299812
ST2_jul_21,0.63818298246027,0.774829524633571,0.663742668723523,0.722469719939964,0.550425007688115,0.679538404139355,0.732236473209417,0.775653973540946,0.68913049365012,0.536157047242697,0.6118089607946,0.758917085851416,0.620351282037175,0.695661219099306,0.62854958725168,0.559219283229069,0.550128752526134,0.379004627869742,0.840038188021079,0.84995171687971,0.791711476194678,0.999999999398107,1,0.999999999326188,1,0.995083642200688,1,1,1,1,1,0.981298327877677,1,1,1,0.999999973520433,1,1,1,0.999703886299812
ST2_aug_21,0.63818298246027,0.774829524633571,0.663742668723524,0.722469719939964,0.550425007688115,0.679538404139355,0.732236473209417,0.775653973540946,0.68913049365012,0.536157047242697,0.611808960794601,0.758917085851416,0.620351282037174,0.695661219099306,0.628549587251679,0.559219283229069,0.550128752526134,0.379004627869742,0.840038188021079,0.84995171687971,0.791711476194679,0.999999999398107,1,0.999999999326188,1,0.995083642200688,1,1,1,1,1,0.981298327877677,1,1,1,0.999999973520433,1,1,1,0.999703886299812
ST2_sep_21,0.638182982460271,0.77482952463357,0.663742668723523,0.722469719939964,0.550425007688115,0.679538404139355,0.732236473209418,0.775653973540946,0.68913049365012,0.536157047242697,0.611808960794601,0.758917085851417,0.620351282037175,0.695661219099306,0.62854958725168,0.55921928322907,0.550128752526135,0.379004627869742,0.840038188021079,0.84995171687971,0.791711476194678,0.999999999398107,1,0.999999999326188,1,0.995083642200688,1,1,1,1,1,0.981298327877677,1,1,1,0.999999973520433,1,1,1,0.999703886299812
