Roza2019_VCF_ID,yi_may,yi_jun,yi_jul,yi_aug,yi_sep,yi_hrv,yi_2020,yi_2021,yi_2022,yi_2023,yi_year,PC1,PC2,PC3
275_S195_R1_001,0.930833846017885,0.746615219920065,0.751161493424122,0.686003441410925,0.56781369126092,0.735059068380937,0.815569233630824,0.599166558535461,0.838944924615866,0.700401142890491,0.74991274762543,-5.38880419804579,-45.2351594891549,-5.7767646757854
280_S207_R1_001,0.724483018566196,0.553766330840924,0.561062672468907,0.522812196815444,0.413420852305256,0.553570911839748,0.618963837290505,0.44765576522383,0.58794696891292,0.569847631223026,0.558633579160169,26.0555110519022,9.0283163103938,-18.6595131368156
282_S219_R1_001,0.767258260702702,0.65620600179672,0.616696798125464,0.573417483581847,0.438143956691783,0.611193765899977,0.672613591087408,0.481342510982449,0.689957102196099,0.617969716766475,0.619061268031217,30.0888864484598,20.8375939704384,-10.2795098519424
284_S137_R1_001,0.757080026607064,0.605263123265219,0.580420816904509,0.552156590906042,0.402475674462659,0.579446068195125,0.610480943643,0.482242716516122,0.658030128844876,0.583572602834284,0.589933673143637,30.9343366119461,41.5551506267202,-23.3392615948464
285_S149_R1_001,0.75473688122781,0.630628773063197,0.574874591962387,0.533384214357542,0.435102440341446,0.584726015680016,0.64816964145445,0.477480878474528,0.610059848498744,0.614144072150101,0.591172866409228,32.8696116621963,34.9275866383824,-36.6429445886613
286_S161_R1_001,0.718151523499275,0.624035911521023,0.644535805984264,0.56605204309282,0.453860446575423,0.603029497367584,0.696833443022317,0.444348563695658,0.639222222634954,0.647933007121704,0.607965961273784,41.3972675682989,38.0156736847187,-23.7896985473274
287_S172_R1_001,0.714028763289788,0.576145430534431,0.571686128881532,0.52267846245726,0.429463511570402,0.561806495115192,0.615267102449159,0.450688768994593,0.63194302212245,0.563741366591227,0.568687298261044,7.40883303113853,23.3825085181831,-35.0887532865
288_S184_R1_001,0.801841358884349,0.56394054273623,0.566060916580027,0.520127753558551,0.410070798544924,0.568680740210392,0.624984745229977,0.438392057152589,0.655415256018341,0.574427071950213,0.574027512642606,36.277122878256,33.6201896593523,-15.4178076742005
291_S196_R1_001,0.671149774182314,0.516589177440031,0.524464397143753,0.48565137615034,0.358649651471723,0.510901004438812,0.573361912771518,0.389767328472296,0.556330327525024,0.538812640894858,0.515764122248815,27.7779184014344,-14.613490081905,10.6569369197063
295_S208_R1_001,0.797955268139746,0.637797043601097,0.618050622007398,0.640219306159524,0.496913827049248,0.63715973181328,0.730357084104152,0.478611818690275,0.733141947035108,0.622865717631623,0.644843993813739,20.6925583360727,-18.6392330727045,17.0355917978839
296_S220_R1_001,0.669250119474072,0.49940141599581,0.54805170486102,0.471436529115976,0.345418846888158,0.506642527720995,0.598786318039094,0.372237869467703,0.50325866140002,0.562852478960961,0.514824274498234,32.3419561694835,-7.2717522592031,22.1817968204766
297_S138_R1_001,0.796920700403373,0.67380436879113,0.656449823129971,0.627279034557591,0.490768909097237,0.649622318578699,0.672221671832299,0.561271763154444,0.664207063994498,0.717226575876223,0.652728843305155,25.914089843099,-21.3230609788718,16.5931233461865
298_S150_R1_001,0.769587888401219,0.579617129140599,0.61070226139087,0.542138986698346,0.430633013782426,0.585027567526122,0.645418919564952,0.471141573298253,0.627685745652844,0.609237692135701,0.589199698297159,10.4151186142651,-38.1170375897506,-12.073833654413
299_S162_R1_001,0.677971860359218,0.551391231943221,0.534717851910492,0.516671939993894,0.39366920248219,0.534780404661925,0.597684585506221,0.422168921515611,0.567853307014708,0.563841630186666,0.541419801046579,31.6758389672488,-2.78863355270527,25.5539958140476
300_S173_R1_001,0.809314422682787,0.622655883212453,0.602816604588884,0.570767484387049,0.42588829139254,0.60503155727664,0.629391399337362,0.509110373505986,0.648902336888421,0.650612454802275,0.607015924277224,27.0766217902695,11.5997048454711,-9.08844433790996
