VCF,ST0_sep_21,ST0_aug_22,PC1,PC2,PC3
SM:113_S75_R1_001,8.371,13.222,5.615018,-1.7242811,1.5050949
SM:115_S87_R1_001,5.198,11.83,2.3798602,-0.70480865,-1.7923974
SM:116_S98_R1_001,19.035,20.171,-7.243233,6.200301,0.38213062
SM:117_S110_R1_001,4.933,17.483,3.034262,0.65015185,5.0691314
SM:118_S122_R1_001,4.981,13.831,0.9003456,2.494044,0.12935196
SM:121_S64_R1_001,10.095,21.293,5.1636834,-3.7087436,-4.7240276
SM:123_S76_R1_001,9.032,26.302,-0.8073041,-8.643458,0.8187412
SM:124_S88_R1_001,7.775,22.136,2.5042102,0.39740372,0.15344474
SM:125_S99_R1_001,5.954,13.252,4.202189,-3.4801276,1.3168005
SM:126_S111_R1_001,9.414,20.829,-7.510685,5.0324173,3.339768
SM:128_S123_R1_001,3.598,14.468,3.9496377,1.8252403,-2.3767095
SM:129_S41_R1_001,7.229,16.57,4.143547,2.8913014,-0.94617844
SM:130_S53_R1_001,6.785,11.416,3.5742445,2.633108,-1.4398278
SM:131_S65_R1_001,4.792,10.291,2.2103117,3.6755595,-0.72400665
SM:133_S77_R1_001,3.977,13.624,5.156873,2.7943578,-2.1447423
SM:134_S89_R1_001,1.159,15.43,4.113638,2.361205,-1.5165439
SM:135_S100_R1_001,11.852,16.323,4.4080544,0.32551733,-5.4931836
SM:141_S42_R1_001,8.33,19.109,2.859265,1.45989,-2.5804198
SM:143_S54_R1_001,10.401,21.624,3.6114838,-3.2730467,-7.049331
SM:144_S66_R1_001,4.438,7.353,-3.0934627,3.6515315,-2.112366
SM:145_S78_R1_001,2.493,15.443,-0.063819036,-6.679717,-4.949313
SM:146_S90_R1_001,6.791,18.3,3.6280115,-0.2971708,-4.035821
SM:147_S101_R1_001,8.475,18.738,-6.436951,-1.8452493,-1.2281256
SM:149_S113_R1_001,7.815,23.572,-7.561339,-5.3552074,-1.8728783
SM:150_S125_R1_001,9.681,26.336,-0.18711889,0.41644967,1.6141956
SM:151_S43_R1_001,4.666,20.943,-4.441185,-3.1402771,-0.18750252
SM:152_S55_R1_001,11.042,21.384,-2.694769,-1.872479,8.0524845
SM:153_S67_R1_001,6.786,12.848,-2.281871,-6.1788034,-1.7595357
SM:155_S79_R1_001,4.994,11.805,3.7824926,-2.575641,-3.4543498
SM:156_S91_R1_001,7.798,10.695,-1.1589072,6.066473,0.7338582
SM:157_S102_R1_001,5.743,13.988,4.4451175,4.2166243,-1.0684415
SM:158_S114_R1_001,7.866,17.572,-4.507944,5.570927,-0.14064887
SM:161_S44_R1_001,7.675,32.641,1.2872742,1.8416554,-1.634125
SM:163_S56_R1_001,5.549,26.816,-2.540321,-0.64142555,-1.1788085
SM:164_S68_R1_001,5.683,28.926,4.1173196,-1.0500813,-0.87995446
SM:166_S80_R1_001,6.709,22.542,4.8464546,-0.056066766,0.26868904
SM:168_S92_R1_001,10.866,16.297,-5.528445,2.3980832,0.13114268
SM:169_S10_R1_001,13.501,22.321,3.2548115,-2.6719482,-4.9352446
SM:170_S115_R1_001,5.678,12.914,-4.9403176,-6.9071255,-1.6772223
SM:172_S127_R1_001,5.868,13.584,-1.492506,-1.4709033,-0.38370907
SM:173_S45_R1_001,5.772,19.291,-1.1730846,-1.8451105,0.3536722
SM:176_S69_R1_001,4.922,10.549,1.544451,-1.6999748,2.290305
SM:178_S81_R1_001,6.626,15.1,-4.505731,-5.8091903,2.4681678
SM:183_S93_R1_001,13.407,27.492,4.760908,-2.6010575,-3.9842331
SM:184_S104_R1_001,7.693,27.904,2.666347,-1.5477238,-3.3354924
SM:186_S116_R1_001,18.727,70.848,1.3496891,-0.6503094,8.240402
SM:187_S15_R1_001,10.414,24.625,1.113286,0.47929806,3.5071237
SM:188_S5_R1_001,9.338,19.71,3.7702749,1.4381096,6.7840834
SM:189_S58_R1_001,12.314,16.979,4.372798,0.42516032,-0.7057762
SM:190_S70_R1_001,11.056,22.329,3.2871876,-2.142069,12.082683
SM:191_S82_R1_001,5.034,21.494,3.9521253,-2.561849,9.087316
SM:193_S94_R1_001,2.546,25.675,-6.478898,3.4506893,3.7327864
SM:194_S105_R1_001,12.883,18.987,-1.6149095,5.04898,0.27421823
SM:195_S117_R1_001,12.206,22.144,4.0136156,2.0676591,-1.3132612
SM:196_S129_R1_001,10.444,19.049,-1.4892155,-7.2996826,-1.746944
SM:198_S130_R1_001,5.201,13.605,-0.9058078,-3.4370422,-0.771819
SM:199_S141_R1_001,3.87,37.592,-8.529096,8.843671,2.8116505
SM:200_S153_R1_001,9.425,25.516,-3.2128384,3.7923865,-3.053822
SM:201_S165_R1_001,4.937,12.3,-2.1906307,3.4285126,-2.2691894
SM:204_S176_R1_001,7.26,20.203,-3.137778,2.327357,8.905293
SM:206_S188_R1_001,7.827,16.149,-2.1677186,-4.4459953,-5.167415
SM:208_S212_R1_001,9.517,10.409,-5.4220862,-1.7874509,-1.7714878
SM:210_S131_R1_001,4.179,9.476,-0.40971622,-4.2940235,-0.4326431
SM:211_S142_R1_001,8.221,13.36,-3.6367567,-5.881904,-4.403583
SM:212_S154_R1_001,11.639,13.942,-4.875968,-2.1245258,-1.7092649
SM:213_S35_R1_001,4.447,13.2,1.5279157,1.5732099,0.044046305
SM:214_S177_R1_001,8.461,17.342,-0.7873817,-0.7794475,1.0016025
SM:215_S189_R1_001,3.273,10.661,-0.23456617,-1.4494468,0.62980926
SM:217_S201_R1_001,10.443,20.872,1.4263402,-2.3732445,-4.211099
SM:219_S132_R1_001,4.736,20.061,0.45116264,2.9734066,-1.6839253
SM:220_S143_R1_001,9.11,11.006,0.8985283,-2.041406,0.6546474
SM:223_S155_R1_001,7.157,18.666,-1.1733036,-3.3535569,-2.2810433
SM:224_S166_R1_001,9.825,16.988,-1.7824738,-8.491007,-4.9053445
SM:225_S178_R1_001,7.633,16.726,-4.317449,-8.272887,6.945821
SM:226_S190_R1_001,8.462,14.075,-5.780314,-9.270984,-0.82619315
SM:227_S202_R1_001,14.249,13.335,-6.5060463,-6.005715,-1.6587297
SM:229_S214_R1_001,6.658,24.235,0.324618,-1.5298212,-3.2002287
SM:230_S503_R1_001,6.589,17.427,2.3659477,0.48060864,-2.323717
SM:231_S144_R1_001,4.727,15.632,3.6029134,-0.21276268,-2.6642907
SM:232_S156_R1_001,11.489,22.364,1.59855,-1.9162601,-2.9653451
SM:233_S167_R1_001,8.231,13.224,0.99746877,-1.3370963,-1.3232538
SM:234_S179_R1_001,6.489,12.408,-5.89967,-5.351689,-1.9116358
SM:235_S191_R1_001,9.863,17.574,-0.9380363,-1.5797493,-2.5851073
SM:236_S203_R1_001,7.751,14.616,1.5007218,4.302838,-1.7604582
SM:238_S215_R1_001,3.895,16.236,3.7584352,5.4079947,-3.6604774
SM:239_S133_R1_001,14.469,8.575,2.1922827,4.9616327,-0.97696346
SM:240_S145_R1_001,5.703,15.461,2.873959,5.3215075,-1.4367237
SM:241_S157_R1_001,6.099,16.012,2.4888804,5.2050123,-1.4374282
SM:242_S168_R1_001,4.477,34.057,3.3049157,1.3638757,-3.1156874
SM:243_S180_R1_001,5.796,21.536,0.5371839,-3.4884174,0.9868797
SM:244_S192_R1_001,7.91,31.566,0.6760331,-0.7262106,1.2915206
SM:245_S204_R1_001,6.167,16.932,0.26193792,-3.9079843,-1.7743189
SM:248_S134_R1_001,8.263,17.744,3.9965498,4.550505,-0.57713574
SM:249_S146_R1_001,8.309,19.657,-4.223878,7.380762,0.72850525
SM:250_S158_R1_001,7.372,12.392,2.003292,0.26364943,-0.97155076
SM:251_S169_R1_001,5.463,23.083,3.2726378,0.400327,-3.0879529
SM:252_S181_R1_001,9.155,12.294,-7.5615826,6.0078917,0.65336883
SM:253_S193_R1_001,4.676,13.099,2.9451237,3.864285,0.15571211
SM:255_S205_R1_001,6.454,3.667,1.5127999,0.67357373,-0.5317477
SM:257_S217_R1_001,8.062,11.442,-5.2054768,3.9451096,0.98840916
SM:258_S103_R1_001,11.406,14.513,1.4060568,-1.9259497,-2.7055645
SM:263_S159_R1_001,8.029,12.1,4.2572875,-0.80625546,0.45814368
SM:265_S182_R1_001,7.84,19.605,3.0606043,2.3183327,-2.9097655
SM:266_S194_R1_001,7.285,12.514,2.413591,0.87417734,-3.8083973
SM:267_S206_R1_001,6.877,20.839,2.8506544,-1.4593244,0.17862883
SM:268_S218_R1_001,12.511,20.818,1.3458152,2.1894555,-3.0683713
SM:269_S136_R1_001,10.687,19.956,0.9957828,-0.78562295,-4.9624004
SM:272_S160_R1_001,5.508,27.768,3.7153223,4.300383,-2.327549
SM:273_S171_R1_001,7.599,11.992,2.1676948,-0.40860552,-0.24823174
SM:274_S183_R1_001,14.704,40.502,2.843048,4.771524,-4.004442
SM:275_S195_R1_001,15.1,24.717,-1.4623182,-4.7066846,-1.4563838
SM:280_S207_R1_001,9.877,14.186,3.6522427,0.6504,-0.85324603
SM:282_S219_R1_001,7.518,15.012,4.9492755,2.212409,-0.107004836
SM:284_S137_R1_001,4.027,17.525,3.09879,5.147811,-2.5578485
SM:285_S149_R1_001,11.497,18.917,3.3234167,3.1030607,-0.77850133
SM:286_S161_R1_001,6.668,15.912,4.995799,4.1135907,-2.9236383
SM:287_S172_R1_001,9.344,19.202,-0.07330849,2.7385073,-2.8466396
SM:288_S184_R1_001,5.755,23.05,3.921494,3.0786643,-3.209109
SM:291_S196_R1_001,4.129,13.966,4.048014,-4.0054493,1.5287375
SM:295_S208_R1_001,10.631,13.415,2.7872221,-2.6742435,1.2952216
SM:296_S220_R1_001,3.786,10.472,6.346904,-2.7485557,1.7325722
SM:297_S138_R1_001,16.312,21.219,3.4335763,-4.1198564,-0.32919216
SM:298_S150_R1_001,9.819,21.401,0.025402533,-6.134336,2.930071
SM:299_S162_R1_001,4.301,13.619,5.355061,-2.234411,0.94560975
SM:300_S173_R1_001,7.649,25.496,4.438539,1.31217,1.0693084
SM:302_S185_R1_001,7.938,20.105,4.4434166,-0.57882506,-1.6250757
SM:303_S197_R1_001,8.305,14.621,2.5784948,0.59784085,-5.10216
SM:304_S209_R1_001,7.213,17.298,-4.823814,5.303668,-0.7546984
SM:305_S221_R1_001,14.19,24.636,4.313212,5.356937,-2.4240873
SM:306_S139_R1_001,10.771,15.492,2.9139788,3.2811463,-0.6042516
SM:307_S151_R1_001,6.751,22.448,4.1040535,1.7164309,-0.15149121
SM:308_S163_R1_001,13.14,16.373,2.5336187,2.9290357,-0.84619147
SM:309_S174_R1_001,13.273,21.65,2.7883728,4.101937,-1.8680971
SM:312_S198_R1_001,7.404,13.879,2.6530974,-0.6029206,5.6604013
SM:314_S210_R1_001,3.671,12.964,-7.292193,5.588645,-1.1434406
SM:315_S222_R1_001,11.733,17.433,3.9230056,1.2241825,-3.380895
SM:316_S140_R1_001,10.156,17.471,3.0916495,0.69043815,0.52858233
SM:318_S152_R1_001,6.566,18.457,3.8877153,0.9174326,-5.1608605
SM:319_S164_R1_001,8.631,20.097,-3.6935015,-7.2928357,-4.404171
SM:320_S175_R1_001,5.27,16.92,-4.664733,0.92140186,-3.9746158
SM:321_S187_R1_001,7.568,15.152,0.7144097,-4.1288805,-3.7063253
SM:322_S199_R1_001,9.572,11.974,4.494433,-2.879671,0.019484624
SM:324_S211_R1_001,8.363,14.513,3.7383356,-0.56673574,-5.375677
SM:325_S223_R1_001,6.986,23.81,0.29144713,-2.851092,-3.6080709
SM:326_S224_R1_001,5.809,1.602,-7.7542167,4.8643074,2.5506296
SM:330_S259_R1_001,6.417,9.717,-3.5553956,-1.7053329,-0.7925154
SM:331_S128_R1_001,9.202,11.964,0.22877502,2.8415515,-1.4593959
SM:333_S294_R1_001,8.107,22.242,1.7272501,-2.5194404,-3.138486
SM:334_S306_R1_001,7.221,39.129,5.381428,1.1850823,-1.3947235
SM:335_S225_R1_001,12.502,16.727,4.696942,3.1090662,-2.7503865
SM:337_S237_R1_001,12.62,22.246,4.5351963,0.17570606,-2.8989282
SM:338_S248_R1_001,14.405,15.935,-6.192165,-5.366468,-3.329906
SM:339_S260_R1_001,7.855,13.264,5.2930603,0.44454864,0.06737601
SM:342_S272_R1_001,10.211,21.531,3.9407625,1.3253125,-1.6479065
SM:343_S283_R1_001,2.319,8.659,0.704446,-0.6423813,9.256291
SM:344_S295_R1_001,6.645,26.548,0.11333874,-2.1480153,6.7445016
SM:350_S307_R1_001,3.682,18.388,3.1096869,-0.65405387,2.5204782
SM:351_S226_R1_001,5.781,24.637,4.7978663,3.2190688,-0.524949
SM:353_S238_R1_001,11.125,15.998,4.484696,3.8668528,-2.161733
SM:355_S261_R1_001,2.409,18.753,-16.848349,7.058441,2.475944
SM:356_S273_R1_001,4.454,23.099,-4.072172,4.396867,-1.4050381
SM:357_S284_R1_001,7.929,10.22,-1.0898049,2.58248,-2.1289155
SM:358_S296_R1_001,7.794,17.242,-13.930452,7.5034733,2.322006
SM:360_S308_R1_001,5.273,12.899,-7.223066,5.9863644,0.28279275
SM:361_S227_R1_001,9.263,17.424,-12.577402,9.26539,1.9790488
SM:362_S239_R1_001,5.403,50.302,-14.313673,8.347842,2.1947546
SM:363_S250_R1_001,12.478,9.572,-9.802588,9.949394,0.5444363
SM:364_S262_R1_001,12.798,15.352,-7.668432,1.4146193,2.304335
SM:366_S274_R1_001,5.21,18.86,-6.007894,3.2942078,-0.7644381
SM:367_S285_R1_001,6.142,22.158,1.1525087,-1.2122318,1.3026562
SM:368_S297_R1_001,10.124,16.687,1.5390164,-0.26821536,-1.6215186
SM:369_S309_R1_001,7.483,14.207,-6.764693,-7.5586934,-0.6012153
SM:370_S228_R1_001,6.287,13.223,-2.3594482,-6.398354,-3.8656914
SM:371_S240_R1_001,13.526,20.718,-8.079581,-8.491824,-0.6634248
SM:372_S251_R1_001,6.854,8.795,-4.379145,-6.589628,-1.4698495
SM:373_S263_R1_001,15.277,26.015,-4.3748655,-7.4096932,-1.6788851
SM:374_S275_R1_001,6.7,18.574,-1.2997553,-3.4169087,-1.5744718
SM:375_S286_R1_001,7.633,22.019,-2.7721767,-4.857893,-3.7007437
SM:376_S298_R1_001,3.748,15.796,-5.748311,-5.605284,-1.8832364
SM:378_S310_R1_001,7.136,15.029,2.994841,-1.5612079,-5.800939
SM:379_S229_R1_001,7.208,26.292,1.4461077,0.47310644,-2.1887474
SM:380_S241_R1_001,4.023,13.556,0.3273905,0.7037976,-1.9234029
SM:381_S252_R1_001,6.942,17.404,3.3477733,1.1181228,-1.9042187
SM:382_S264_R1_001,14.985,14.395,2.3115296,-0.87576234,-2.6664183
SM:383_S276_R1_001,10.444,7.454,2.414439,-0.7098477,-2.0938492
SM:384_S287_R1_001,9.305,21.444,2.318239,0.20401247,-3.5093489
SM:385_S299_R1_001,9.127,14.865,2.2534456,0.22253194,-0.74564266
SM:386_S311_R1_001,8.829,24.285,-4.9207635,7.5263643,-2.9233387
SM:387_S230_R1_001,5.94,14.215,0.9209405,1.8713677,-1.8298643
SM:389_S242_R1_001,5.651,5.904,3.2901165,6.237889,-1.1720014
SM:390_S253_R1_001,3.907,14.928,3.0627778,6.320536,-1.0009089
SM:391_S265_R1_001,4.289,22.029,3.4196672,1.3145567,-4.885572
SM:393_S288_R1_001,11.994,22.222,-2.8378909,-5.487552,3.8057072
SM:397_S300_R1_001,7.36,22.112,2.5346217,2.0747485,-1.655394
SM:400_S312_R1_001,6.33,18.395,4.3926,-3.635692,-5.6386576
SM:401_S231_R1_001,7.964,18.564,3.9407063,3.2006059,-1.8342929
SM:402_S243_R1_001,8.906,20.875,2.4688222,1.4602652,-2.510683
SM:404_S254_R1_001,8.433,20.163,1.6393934,-0.4558896,2.1026814
SM:405_S266_R1_001,4.652,9.004,-3.6806135,0.42955136,-1.0627158
SM:406_S278_R1_001,9.115,19.385,-3.1289363,-6.850807,-1.0619746
SM:408_S289_R1_001,11.084,22.532,2.7657762,1.2859169,-1.8279079
SM:409_S301_R1_001,5.324,13.946,-3.7959528,6.7175674,0.4247053
SM:410_S313_R1_001,9.03,19.895,0.74482167,0.06081142,-0.42736396
SM:411_S232_R1_001,5.803,28.681,0.58197004,1.27639,-1.0442296
SM:413_S244_R1_001,6.168,18.75,1.9032952,0.7105032,1.9814967
SM:414_S255_R1_001,6.752,17.214,3.9652305,-1.5092565,-0.56018496
SM:416_S267_R1_001,6.367,9.85,-2.1196785,-3.5105803,-2.9090521
SM:420_S279_R1_001,21.677,27.616,5.471712,-2.4088404,6.3345056
SM:421_S290_R1_001,8.236,14.674,-6.227687,3.5813386,3.127417
SM:422_S302_R1_001,7.931,13.521,5.6458163,-1.5731404,6.5782337
SM:425_S233_R1_001,6.49,16.15,4.0983,-0.63474095,6.6850276
SM:427_S245_R1_001,13.585,12.229,2.500972,-2.2249982,3.3611994
SM:428_S256_R1_001,11.932,23.196,3.418323,-2.0544624,2.2983751
SM:432_S268_R1_001,5.607,16.956,4.381916,2.9999545,-1.207171
SM:435_S280_R1_001,8.246,13.681,4.5538707,-0.35579282,-1.1928996
SM:436_S291_R1_001,3.191,14.509,3.879837,-2.3045707,0.43485436
SM:437_S303_R1_001,6.677,16.352,2.9290452,-2.2102969,0.289089
SM:438_S315_R1_001,2.155,14.029,4.730366,1.6207116,-2.0171895
SM:439_S234_R1_001,8.332,13.366,3.1365695,-1.4460355,-1.237851
SM:440_S246_R1_001,2.853,11.76,1.2458142,-0.50289047,2.0468924
SM:441_S257_R1_001,6.073,27.688,1.3892511,1.4279506,2.8278267
SM:442_S269_R1_001,9.371,5.209,1.1393201,-0.9823488,7.8095307
SM:447_S292_R1_001,8.635,17.252,2.5115318,-1.7906076,-3.7985222
SM:449_S304_R1_001,9.747,14.988,3.9663522,-2.3382347,-1.3530892
SM:450_S316_R1_001,11.528,9.923,3.481185,-3.295457,4.19287
SM:451_S235_R1_001,10.016,20.545,4.929554,-0.4369248,-3.6727262
SM:452_S247_R1_001,8.585,13.854,3.786242,-0.9977944,-4.474694
SM:453_S258_R1_001,5.719,24.417,-0.113724396,-0.15125169,2.883802
SM:454_S270_R1_001,13.585,16.176,-1.5872085,0.7410472,0.18194552
SM:456_S282_R1_001,5.811,14.433,-0.05960965,1.4034808,-1.1571611
SM:457_S293_R1_001,6.454,18.248,3.7004755,2.1921413,-0.876628
SM:459_S305_R1_001,7.573,18.912,3.9338186,-2.0425544,-4.5917373
SM:461_S317_R1_001,5.915,13.54,-1.7037337,-1.1933684,0.6712503
SM:464_S329_R1_001,8.521,19.918,0.79404026,-0.20650338,-0.24054569
SM:465_S341_R1_001,5.552,16.352,1.0004504,-0.2184182,1.9030504
SM:466_S353_R1_001,12.749,20.237,1.8335274,0.001335925,-1.6783795
SM:467_S365_R1_001,6.045,14.55,-11.105103,3.7637446,0.3121031
SM:469_S377_R1_001,7.81,14.273,-0.08745349,-2.906264,9.612584
SM:470_S388_R1_001,6.831,12.108,-1.869966,-1.8921336,0.018444799
SM:475_S400_R1_001,9.242,13.496,0.71571934,-0.6905896,0.6814368
SM:476_S318_R1_001,7.757,20.752,-2.0735934,-0.4768171,0.07731416
SM:477_S330_R1_001,5.831,14.138,2.7506304,-1.3864777,6.8413205
SM:478_S342_R1_001,21.457,30.319,4.1719394,-2.2578921,7.370255
SM:479_S354_R1_001,10.661,20.17,2.8524396,-1.8073124,15.091143
SM:480_S366_R1_001,7.428,19.012,3.9848197,-0.9232341,7.4008193
SM:481_S378_R1_001,15.95,18.327,4.7205276,0.3164596,8.000939
SM:482_S389_R1_001,11.966,19.794,2.8157609,-1.3360575,6.887256
SM:483_S401_R1_001,6.347,16.196,2.3527966,-0.921323,-0.9766755
SM:485_S319_R1_001,7.307,15.409,3.3478918,1.0034702,-1.166166
SM:486_S331_R1_001,8.14,18.743,0.42511773,-1.8778986,-0.561394
SM:487_S343_R1_001,1.933,10.484,-7.3325434,8.4595375,-0.41984648
SM:488_S355_R1_001,3.427,10.253,-6.4629025,2.2608273,1.3903618
SM:489_S367_R1_001,1.659,10.272,-7.710275,6.169708,0.078998104
SM:490_S379_R1_001,2.198,10.776,-7.4785666,6.7582874,-0.7227695
SM:492_S390_R1_001,7.649,9.517,-4.670208,6.663181,0.12062574
SM:493_S402_R1_001,9.625,6.595,-10.2702,9.53355,2.6729863
SM:494_S320_R1_001,1.856,18.443,-9.410333,7.4534006,2.0162408
SM:495_S332_R1_001,3.353,17.962,-11.368951,7.3167553,0.7959126
SM:496_S344_R1_001,6.864,20.537,-9.941727,8.745719,2.7045493
SM:498_S356_R1_001,9.199,16.001,-12.633381,1.3796,0.0931884
SM:499_S46_R1_001,4.319,11.387,-5.160221,-5.0098596,7.83884
SM:502_S380_R1_001,12.514,19.263,2.9130962,1.4737571,-0.38485286
SM:503_S391_R1_001,5.576,24.371,0.727656,-1.2598478,1.8042372
SM:504_S403_R1_001,9.914,14.854,-8.251395,-1.2183433,-0.5523708
SM:505_S321_R1_001,7.578,14.869,-8.70231,-11.897476,-3.033151
SM:506_S333_R1_001,6.393,6.385,-7.601369,-11.0148735,-0.47377682
SM:507_S345_R1_001,6.454,17.209,-2.4901857,-6.71372,-2.1860352
SM:508_S357_R1_001,0.846,4.308,-1.1215208,-8.687345,-1.6128764
SM:509_S369_R1_001,4.925,13.328,-0.917169,-2.9982994,0.091894105
SM:510_S381_R1_001,7.799,19.841,-2.3565087,-5.351256,0.1983077
SM:511_S392_R1_001,8.784,14.55,-4.5414405,-10.261496,-1.3663455
SM:512_S404_R1_001,6.215,9.055,3.4649725,-0.1645197,-3.0866022
SM:513_S322_R1_001,16.477,14.569,-5.434299,4.3281407,-0.9743531
SM:514_S334_R1_001,12.92,19.486,1.8106753,-1.085048,-3.1773777
SM:515_S346_R1_001,18.253,16.182,4.2291102,4.271637,-1.1023068
SM:518_S358_R1_001,11.858,18.733,2.6695359,4.811294,-0.5720117
SM:519_S370_R1_001,12.116,17.676,1.8980453,2.4986274,0.18094465
SM:521_S382_R1_001,12.507,17.781,-1.2649599,-0.692744,1.8593032
SM:522_S393_R1_001,8.666,26.637,-6.9608088,-6.9016013,2.484753
SM:524_S405_R1_001,7.285,11.249,-3.7384145,-1.0394412,0.049825955
SM:525_S323_R1_001,10.389,19.162,-2.173179,-3.2834346,0.17608123
SM:527_S335_R1_001,9.553,17.575,3.8284483,3.7860215,1.228922
SM:528_S347_R1_001,8.512,13.907,3.7441814,0.22638404,-2.4006584
SM:529_S359_R1_001,4.521,15.699,4.1121554,2.4791996,-1.6869036
SM:530_S371_R1_001,4.489,14.741,3.885371,1.22766,1.2616338
