Plant_ID,static_ST1,g_ST1,static_ST2,g_ST2,,,,
123,4643.816583,270.9707527,2123.443726,268.9941264,,,,
299,4667.309768,245.8585858,2109.91962,242.6192926,,,,
593,4690.287103,208.8173391,2156.17636,206.1751119,,,,
88,4697.672212,245.2756757,2341.538718,245.5042561,,,,
416,4750.570612,252.3446332,2561.777491,251.1789761,,,,
576,4756.566639,286.3549411,2189.111217,281.9927619,,,,
41,4768.995506,272.3766348,2326.460569,269.1791453,,,,
427,4793.287268,232.9810314,2488.012249,235.9481287,,,,
587,4824.667135,258.4247378,2490.320394,258.7037981,,,,
128,4827.818884,256.9185966,2868.026884,254.8289616,,,,
605,4829.023236,259.1473758,2174.564731,256.8565338,,,,
508,4837.295618,185.2092587,2152.161853,181.6776888,,,,
190,4853.820074,285.8115453,1715.093069,282.5361214,,,,
157,4854.892025,255.7058369,2526.622634,252.507268,,,,
12,4875.541845,262.6623449,2015.6585,260.8478749,,,,
420,4879.692608,297.9820627,2106.311194,294.729381,,,,
511,4884.018936,256.854108,1665.153659,256.3147405,,,,
153,4888.236914,244.0589629,2108.672967,241.4883579,,,,
361,4892.138224,255.8323829,1938.419988,254.0544423,,,,
397,4906.410289,260.1613501,2623.442253,258.8671621,,,,
13,4908.798135,266.8219845,2005.493306,259.8085669,,,,
466,4911.668018,271.0543531,2875.407826,269.1954343,,,,
116,4938.110726,284.4148957,3426.429047,284.277362,,,,
201,4939.824354,227.6699284,2366.072229,225.8587343,,,,
37,4947.600838,268.4627744,2068.302718,263.7168151,,,,
129,4950.610844,248.516932,2762.12727,248.4090964,,,,
210,4957.015539,236.1844603,2708.061881,233.8363213,,,,
386,4957.325577,263.7613895,2646.868343,262.2698288,,,,
581,4958.605961,265.234397,2470.961635,261.7376217,,,,
77,4960.648025,248.6213986,2055.329656,244.2096907,,,,
90,4963.525312,227.5950791,2506.572725,228.1880603,,,,
143,4964.156618,263.3747779,2829.339607,261.9050991,,,,
175,4981.260126,239.8997972,1516.901249,239.8806723,,,,
326,4988.70506,220.7084092,1714.848933,220.5857872,,,,
401,5003.250668,266.0603144,2430.732509,263.0476916,,,,
112,5012.42476,271.3625952,1735.810105,268.9204107,,,,
449,5017.644321,257.4775769,2255.18394,255.9531287,,,,
303,5022.303191,258.1938716,2545.466079,256.469019,,,,
383,5046.074043,250.7638051,1180.318868,251.4206584,,,,
85,5057.337795,267.5389136,2089.840224,263.1208419,,,,
335,5074.529994,253.9786299,2017.438533,249.5728911,,,,
387,5090.929089,259.7803589,2338.562343,258.7021887,,,,
223,5104.933287,261.1947166,2910.704171,258.1846107,,,,
59,5105.825156,229.7614909,1772.066348,226.4422559,,,,
144,5132.076976,240.8262398,2259.340278,239.7219988,,,,
358,5147.601692,258.0773896,2646.446161,255.8441569,,,,
342,5154.543965,266.6792281,1825.061511,264.850367,,,,
309,5156.569096,273.2442587,2698.607815,272.6636474,,,,
343,5157.389813,227.5012445,2383.778591,220.8151926,,,,
56,5187.490794,263.8732377,2826.679008,264.1530157,,,,
5,5191.218512,264.5070356,2002.44033,265.5528104,,,,
125,5196.229459,241.7899713,1913.296086,241.6841187,,,,
325,5205.732947,256.9719695,2358.03098,258.8209657,,,,
130,5208.281239,243.9300472,2387.217194,242.7233284,,,,
207,5224.266098,250.0798984,1664.579224,246.1299149,,,,
494,5228.946989,240.6695263,1940.965426,233.4584736,,,,
196,5243.935667,269.3655023,1771.92383,267.515807,,,,
510,5258.049636,277.7128728,2755.989026,274.0386132,,,,
280,5259.475229,252.4349957,2563.76746,251.793008,,,,
363,5287.438437,255.005284,2967.798523,254.4802447,,,,
69,5308.549257,234.9192641,2640.919243,232.8727317,,,,
509,5310.710017,233.2097784,2110.929495,229.5477907,,,,
40,5315.951349,232.5102436,1316.981048,228.8759236,,,,
29,5331.471019,223.4202075,1896.013934,220.5582282,,,,
287,5367.412411,258.1671896,2186.848417,255.281786,,,,
108,5369.496902,247.2426439,2453.573326,244.691679,,,,
553,5370.52379,246.1018092,3118.687472,246.4276142,,,,
22,5374.889225,251.1283667,2179.970103,249.7309308,,,,
118,5382.027713,243.3477963,2747.312406,241.0388427,,,,
402,5393.781746,279.4568777,3087.843566,277.4211816,,,,
227,5419.316756,270.9349958,2639.953032,266.7855423,,,,
152,5430.492222,272.5581167,2590.859361,271.3715068,,,,
212,5441.279491,266.0157786,2033.674712,262.7502382,,,,
42,5453.598153,227.1156305,2176.267986,224.3186951,,,,
226,5460.149777,241.9451472,2417.912221,239.1044349,,,,
249,5464.046196,274.805298,2611.268485,272.9626366,,,,
532,5470.114216,270.4366461,3428.496649,270.9905988,,,,
