Roza2019_VCF_ID1,Roza2019_VCF_ID,Sample_ID,Plant_ID.x,Ordering,rep,col,row,Plant_ID.y,Male_parent,Planting_ID,Male_parent_pop,plant,BC_ID,Female,Male,Planting_ID1,PlantNo,BC_ID1,Susceptible_parent,F1,Susceptible_parent1,PC1,PC2,PC3,group
SM:36_S458_R1_001,36_S458_R1_001,36_15G-113A-8,36,28,1,2,9,36,15G,113A,1622,8,1613-15x1622-15G,1613-15,1622-15G,113A_8,plant#8,1613-15_1622-15G,1613-15,1622-15G,15,3.02948424052052,-3.97836506407344,5.45316258959468,2
SM:37_S423_R1_001,37_S423_R1_001,37_16E-121A-1,37,29,1,2,10,37,16E,121A,1622,1,1613-16x1622-16E,1613-16,1622-16E,121A_1,Plant#1,1613-16_1622-16E,1613-16,1622-16E,16,-27.7646893896365,-71.7117085752106,-30.9994004268755,1
SM:40_S459_R1_001,40_S459_R1_001,40_16D-120A-1,40,30,1,2,11,40,16D,120A,1622,1,1613-16x1622-16D,1613-16,1622-16D,120A_1,Plant#1,1613-16_1622-16D,1613-16,1622-16D,16,-38.0265513164629,-87.8927988402034,-41.7216086475728,1
SM:41_S470_R1_001,41_S470_R1_001,41_16D-120A-2,41,31,1,2,12,41,16D,120A,1622,2,1613-16x1622-16D,1613-16,1622-16D,120A_2,Plant#2,1613-16_1622-16D,1613-16,1622-16D,16,-17.3349584973258,-103.222806313958,-38.8881873210464,1
SM:42_S482_R1_001,42_S482_R1_001,42_16E-121A-2,42,32,1,2,13,42,16E,121A,1622,2,1613-16x1622-16E,1613-16,1622-16E,121A_2,Plant#2,1613-16_1622-16E,1613-16,1622-16E,16,6.10870387426541,-83.508973203685,26.0717345842213,1
SM:44_S505_R1_001,44_S505_R1_001,44_17E-129A-1,44,33,1,2,14,44,17E,129A,1622,1,1613-17x1622-17E,1613-17,1622-17E,129A_1,Plant#1,1613-17_1622-17E,1613-17,1622-17E,17,3.66398778684712,-41.0311030386624,22.0361013541981,1
SM:46_S483_R1_001,46_S483_R1_001,46_17F-130A-1,46,34,1,2,15,46,17F,130A,1622,1,1613-17x1622-17F,1613-17,1622-17F,130A_1,Plant#1,1613-17_1622-17F,1613-17,1622-17F,17,24.8668964360485,13.5851277721372,-59.2841060091973,2
SM:47_S494_R1_001,47_S494_R1_001,47_17F-130A-2,47,35,1,2,16,47,17F,130A,1622,2,1613-17x1622-17F,1613-17,1622-17F,130A_2,Plant#2,1613-17_1622-17F,1613-17,1622-17F,17,24.2376298175833,16.3408998150922,-67.8740280112682,2
SM:48_S13_R1_001,48_S13_R1_001,48_17L-136A-,48,36,1,2,17,48,17L,136A,1622,0,1613-17x1622-17L,1613-17,1622-17L,136A_0,Plant#0,1613-17_1622-17L,1613-17,1622-17L,17,9.06164946730582,-1.9868661473519,11.5591297729556,2
SM:49_S18_R1_001,49_S18_R1_001,49_18E-141A-1,49,37,1,2,18,49,18E,141A,1622,1,1613-18x1622-18E,1613-18,1622-18E,141A_1,Plant#1,1613-18_1622-18E,1613-18,1622-18E,18,-30.3575581519677,-95.4155913520067,-40.6895108071573,1
SM:50_S22_R1_001,50_S22_R1_001,50_18A-137A-8,50,38,1,2,19,50,18A,137A,1622,8,1613-18x1622-18A,1613-18,1622-18A,137A_8,plant#8,1613-18_1622-18A,1613-18,1622-18A,18,2.50495591798602,-60.2240061036162,35.7128288257009,1
SM:51_S26_R1_001,51_S26_R1_001,51_18C-139A-2,51,39,1,3,1,51,18C,139A,1622,2,1613-18x1622-18C,1613-18,1622-18C,139A_2,Plant#2,1613-18_1622-18C,1613-18,1622-18C,18,-3.33167637281932,-27.2848050738661,-7.36387626681118,1
SM:52_S30_R1_001,52_S30_R1_001,52_18C-139A-8,52,40,1,3,2,52,18C,139A,1622,8,1613-18x1622-18C,1613-18,1622-18C,139A_8,plant#8,1613-18_1622-18C,1613-18,1622-18C,18,-37.5693109092332,-88.7814750550031,-40.491265571216,1
SM:53_S34_R1_001,53_S34_R1_001,53_18D-140A-1,53,41,1,3,3,53,18D,140A,1622,1,1613-18x1622-18D,1613-18,1622-18D,140A_1,Plant#1,1613-18_1622-18D,1613-18,1622-18D,18,-14.8619201691889,-104.179656771345,-37.9496125180894,1
SM:54_S4_R1_001,54_S4_R1_001,54_18D-140A-2,54,42,1,3,4,54,18D,140A,1622,2,1613-18x1622-18D,1613-18,1622-18D,140A_2,Plant#2,1613-18_1622-18D,1613-18,1622-18D,18,6.46227896649178,-82.8621586820235,31.3491150738829,1
SM:55_S9_R1_001,55_S9_R1_001,55_18E-141A-2,55,43,1,3,5,55,18E,141A,1622,2,1613-18x1622-18E,1613-18,1622-18E,141A_2,Plant#2,1613-18_1622-18E,1613-18,1622-18E,18,-4.9373731257063,-56.0447562834995,40.0695754151006,1
SM:56_S14_R1_001,56_S14_R1_001,56_18F-142A-1,56,44,1,3,6,56,18F,142A,1622,1,1613-18x1622-18F,1613-18,1622-18F,142A_1,Plant#1,1613-18_1622-18F,1613-18,1622-18F,18,5.97363872887122,-52.218400206193,35.5474106672041,1
SM:57_S19_R1_001,57_S19_R1_001,57_18F-142A-2,57,45,1,3,7,57,18F,142A,1622,2,1613-18x1622-18F,1613-18,1622-18F,142A_2,Plant#2,1613-18_1622-18F,1613-18,1622-18F,18,25.6419914000898,17.1413784831101,60.5812691498853,2
SM:59_S23_R1_001,59_S23_R1_001,59_19C-149A-1,59,46,1,3,8,59,19C,149A,1622,1,1613-19x1622-19C,1613-19,1622-19C,149A_1,Plant#1,1613-19_1622-19C,1613-19,1622-19C,19,25.6221660501933,15.6035727258005,-59.3182001557467,2
SM:60_S27_R1_001,60_S27_R1_001,60_19C-149A-2,60,47,1,3,9,60,19C,149A,1622,2,1613-19x1622-19C,1613-19,1622-19C,149A_2,Plant#2,1613-19_1622-19C,1613-19,1622-19C,19,25.9969100429245,17.7842400223902,-68.9493874551355,2
SM:62_S31_R1_001,62_S31_R1_001,62_2-4A-1,62,48,1,3,10,62,2,4A,1613,1,1613-2x1622-2D,1613-2,1622-2D,4A_1,Plant#1,1613-2_1622-2D,1613-2,1622-2D,2,25.0105745958882,30.6936767426683,-31.5963877745782,2
SM:63_S36_R1_001,63_S36_R1_001,63_2C-3A-2,63,49,1,3,11,63,2C,3A,1622,2,1613-2x1622-2C,1613-2,1622-2C,3A_2,Plant#2,1613-2_1622-2C,1613-2,1622-2C,2,24.5594934411451,45.0518449076166,-32.2385180865553,2
SM:64_S47_R1_001,64_S47_R1_001,64_2D-4A-2,64,50,1,3,12,64,2D,4A,1622,2,1613-2x1622-2D,1613-2,1622-2D,4A_2,Plant#2,1613-2_1622-2D,1613-2,1622-2D,2,37.9492478437638,29.6676529486087,-34.5126618135888,2
SM:65_S59_R1_001,65_S59_R1_001,65_2E-5A-2,65,51,1,3,13,65,2E,5A,1622,2,1613-2x1622-2E,1613-2,1622-2E,5A_2,Plant#2,1613-2_1622-2E,1613-2,1622-2E,2,22.6062194293664,36.7777354451704,-13.9260663707023,2
SM:66_S71_R1_001,66_S71_R1_001,66_2L-9A-1,66,52,1,3,14,66,2L,9A,1622,1,1613-2x1622-2L,1613-2,1622-2L,9A_1,Plant#1,1613-2_1622-2L,1613-2,1622-2L,2,34.0759641549123,22.8733649620815,22.4706602700619,2
SM:67_S83_R1_001,67_S83_R1_001,67_20H-161A-2,67,53,1,3,15,67,20H,161A,1622,2,1613-20x1622-20H,1613-20,1622-20H,161A_2,Plant#2,1613-20_1622-20H,1613-20,1622-20H,20,13.2567276875674,44.2935771464004,-11.3622040761774,2
SM:68_S95_R1_001,68_S95_R1_001,68_20H-161A-17-1,68,54,1,3,16,68,20H,161A,1622,17-1,1613-20x1622-20H,1613-20,1622-20H,161A_17-1,Plant#17,1613-20_1622-20H,1613-20,1622-20H,20,12.3561321251786,54.8859379725097,-5.62001299982092,2
SM:69_S106_R1_001,69_S106_R1_001,69_20H-161A-2,69,55,1,3,17,69,20H,161A,1622,2,1613-20x1622-20H,1613-20,1622-20H,161A_2,Plant#2,1613-20_1622-20H,1613-20,1622-20H,20,24.5358473485373,39.0939043431283,2.52476763522911,2
SM:70_S118_R1_001,70_S118_R1_001,70_21A-166A-2,70,56,1,3,18,70,21A,166A,1622,2,1613-21x1622-21A,1613-21,1622-21A,166A_2,Plant#2,1613-21_1622-21A,1613-21,1622-21A,21,-5.22718083003631,-23.3284480062955,0.274654048941353,1
SM:72_S37_R1_001,72_S37_R1_001,72_21G-169A-1,72,57,1,3,19,72,21G,169A,1622,1,1613-21x1622-21G,1613-21,1622-21G,169A_1,Plant#1,1613-21_1622-21G,1613-21,1622-21G,21,-60.6723538494259,1.21493134875527,0.588084575228816,3
SM:74_S48_R1_001,74_S48_R1_001,74_21K-171A-9,74,58,1,4,1,74,21K,171A,1622,9,1613-21x1622-21K,1613-21,1622-21K,171A_9,Plant#9,1613-21_1622-21K,1613-21,1622-21K,21,-62.9263205420192,-7.08822222927086,-14.1478678444487,3
SM:76_S60_R1_001,76_S60_R1_001,76_21K-171A-1,76,59,1,4,2,76,21K,171A,1622,1,1613-21x1622-21K,1613-21,1622-21K,171A_1,Plant#1,1613-21_1622-21K,1613-21,1622-21K,21,-5.78070020351692,-40.7922910747572,-15.7950451370764,1
SM:77_S72_R1_001,77_S72_R1_001,77_22I-179A-1,77,60,1,4,3,77,22I,179A,1622,1,1613-22x1622-22I,1613-22,1622-22I,179A_1,Plant#1,1613-22_1622-22I,1613-22,1622-22I,22,23.3958123392534,36.3982074551168,-39.2831022714219,2
SM:79_S84_R1_001,79_S84_R1_001,79_22I-179A-2,79,61,1,4,4,79,22I,179A,1622,2,1613-22x1622-22I,1613-22,1622-22I,179A_2,Plant#2,1613-22_1622-22I,1613-22,1622-22I,22,20.5113617286822,18.5660204781725,-8.11212853939943,2
SM:81_S96_R1_001,81_S96_R1_001,81_22F-176A-2,81,62,1,4,5,81,22F,176A,1622,2,1613-22x1622-22F,1613-22,1622-22F,176A_2,Plant#2,1613-22_1622-22F,1613-22,1622-22F,22,3.96761817521561,14.3019560111072,-17.7075124606523,2
SM:82_S107_R1_001,82_S107_R1_001,82_22F-176A-8,82,63,1,4,6,82,22F,176A,1622,8,1613-22x1622-22F,1613-22,1622-22F,176A_8,plant#8,1613-22_1622-22F,1613-22,1622-22F,22,-46.6729654770521,33.8590005689258,16.9955012292243,3
SM:83_S119_R1_001,83_S119_R1_001,83_22F-176A-9,83,64,1,4,7,83,22F,176A,1622,9,1613-22x1622-22F,1613-22,1622-22F,176A_9,Plant#9,1613-22_1622-22F,1613-22,1622-22F,22,10.5989160781911,26.7122694484504,4.64451194739925,2
SM:85_S38_R1_001,85_S38_R1_001,85_22H-178A-2,85,65,1,4,8,85,22H,178A,1622,2,1613-22x1622-22H,1613-22,1622-22H,178A_2,Plant#2,1613-22_1622-22H,1613-22,1622-22H,22,17.8345639350667,36.8057741087963,-6.65813672321902,2
SM:87_S49_R1_001,87_S49_R1_001,87_23C-183A-10,87,66,1,4,9,87,23C,183A,1622,10,1613-23x1622-23C,1613-23,1622-23C,183A_10,Plant#10,1613-23_1622-23C,1613-23,1622-23C,23,23.7604660366083,9.32983764074394,4.57687789908413,2
SM:88_S61_R1_001,88_S61_R1_001,88_23C-183A-12,88,67,1,4,10,88,23C,183A,1622,12,1613-23x1622-23C,1613-23,1622-23C,183A_12,Plant#12,1613-23_1622-23C,1613-23,1622-23C,23,3.90540881535345,-9.96596232325406,-1.06749029271039,2
SM:89_S73_R1_001,89_S73_R1_001,89_23D-184A-1,89,68,1,4,11,89,23D,184A,1622,1,1613-23x1622-23D,1613-23,1622-23D,184A_1,Plant#1,1613-23_1622-23D,1613-23,1622-23D,23,6.2686507898245,-14.1032374878024,-14.9001709142621,2
SM:90_S85_R1_001,90_S85_R1_001,90_23D-184A-2,90,69,1,4,12,90,23D,184A,1622,2,1613-23x1622-23D,1613-23,1622-23D,184A_2,Plant#2,1613-23_1622-23D,1613-23,1622-23D,23,-3.06756337825933,-4.54471896528202,-14.7666149651818,2
SM:92_S97_R1_001,92_S97_R1_001,92_25I-189A-,92,70,1,4,13,92,25I,189A,1622,0,1613-25x1622-25I,1613-25,1622-25I,189A_0,Plant#0,1613-25_1622-25I,1613-25,1622-25I,25,24.6824863242253,6.31878092769636,-5.3218911014562,2
SM:93_S108_R1_001,93_S108_R1_001,93_25I-189A-1,93,71,1,4,14,93,25I,189A,1622,1,1613-25x1622-25I,1613-25,1622-25I,189A_1,Plant#1,1613-25_1622-25I,1613-25,1622-25I,25,-8.81819652393221,-50.6780306482624,-28.0707615664638,1
SM:94_S120_R1_001,94_S120_R1_001,94_26A-192A-1,94,72,1,4,15,94,26A,192A,1622,1,1613-26x1622-26A,1613-26,1622-26A,192A_1,Plant#1,1613-26_1622-26A,1613-26,1622-26A,26,9.26680444661481,12.2084794015129,-5.17817983219493,2
SM:95_S39_R1_001,95_S39_R1_001,95_26A-192A-2,95,73,1,4,16,95,26A,192A,1622,2,1613-26x1622-26A,1613-26,1622-26A,192A_2,Plant#2,1613-26_1622-26A,1613-26,1622-26A,26,15.6948251705144,29.7617571154859,9.03807606800788,2
SM:96_S50_R1_001,96_S50_R1_001,96_26D-195A-9,96,74,1,4,17,96,26D,195A,1622,9,1613-26x1622-26D,1613-26,1622-26D,195A_9,Plant#9,1613-26_1622-26D,1613-26,1622-26D,26,15.3991401162999,0.954663671710102,10.010141658418,2
SM:97_S62_R1_001,97_S62_R1_001,97_26D-195A-13,97,75,1,4,18,97,26D,195A,1622,13,1613-26x1622-26D,1613-26,1622-26D,195A_13,Plant#13,1613-26_1622-26D,1613-26,1622-26D,26,9.91277168626737,21.0394719719568,7.70391569120104,2
SM:98_S74_R1_001,98_S74_R1_001,98_26D-195A-15,98,76,1,4,19,98,26D,195A,1622,15,1613-26x1622-26D,1613-26,1622-26D,195A_15,Plant#15,1613-26_1622-26D,1613-26,1622-26D,26,8.19564406119854,-7.69719429423855,27.2520303969703,2
SM:100_S86_R1_001,100_S86_R1_001,100_26D-195A-16,100,77,1,5,1,100,26D,195A,1622,16,1613-26x1622-26D,1613-26,1622-26D,195A_16,Plant#16,1613-26_1622-26D,1613-26,1622-26D,26,19.1399712750647,34.4335465825235,-25.6544467286196,2
SM:104_S109_R1_001,104_S109_R1_001,104_28B-204A-1,104,79,1,5,3,104,28B,204A,1622,1,1613-28x1622-28B,1613-28,1622-28B,204A_1,Plant#1,1613-28_1622-28B,1613-28,1622-28B,28,-4.13794504589218,-40.6941782085356,-2.55239867898213,1
SM:107_S121_R1_001,107_S121_R1_001,107_28D-206A-9,107,80,1,5,4,107,28D,206A,1622,9,1613-28x1622-28D,1613-28,1622-28D,206A_9,Plant#9,1613-28_1622-28D,1613-28,1622-28D,28,-4.7148252614601,-43.7296988807609,-37.0587826103097,1
SM:108_S40_R1_001,108_S40_R1_001,108_28D-206A-11,108,81,1,5,5,108,28D,206A,1622,11,1613-28x1622-28D,1613-28,1622-28D,206A_11,Plant#11,1613-28_1622-28D,1613-28,1622-28D,28,4.50442678679994,-57.09254742891,-18.365459324107,1
SM:111_S51_R1_001,111_S51_R1_001,111_29C-213A-2,111,82,1,5,6,111,29C,213A,1622,2,1613-29x1622-29C,1613-29,1622-29C,213A_2,Plant#2,1613-29_1622-29C,1613-29,1622-29C,29,32.913469239057,12.1578263928721,29.0232424512492,2
SM:112_S63_R1_001,112_S63_R1_001,112_2-4B-1,112,83,1,5,7,112,2,4B,1613,1,1613-2Dx1613-2,1613-2D,1613-2,4B_1,Plant#1,1613-2_1613-2D,1613-2,1613-2D,2,48.3392624104508,54.2655420393585,-57.2945754446138,2
SM:113_S75_R1_001,113_S75_R1_001,113_3C-11A-2,113,84,1,5,8,113,3C,11A,1622,2,1613-3x1622-3C,1613-3,1622-3C,11A_2,Plant#2,1613-3_1622-3C,1613-3,1622-3C,3,25.5756993334224,-8.88924564351737,58.1934555104421,2
SM:115_S87_R1_001,115_S87_R1_001,115_3D-12A-2,115,85,1,5,9,115,3D,12A,1622,2,1613-3x1622-3D,1613-3,1622-3D,12A_2,Plant#2,1613-3_1622-3D,1613-3,1622-3D,3,23.3270351293804,2.64713244727535,-29.290153525474,2
SM:116_S98_R1_001,116_S98_R1_001,116_3F-13A-,116,86,1,5,10,116,3F,13A,1622,0,1613-3x1622-3F,1613-3,1622-3F,13A_0,Plant#0,1613-3_1622-3F,1613-3,1622-3F,3,-49.0807740804041,37.5272338559611,-24.6409729568883,3
SM:117_S110_R1_001,117_S110_R1_001,117_3H-14A-2,117,87,1,5,11,117,3H,14A,1622,2,1613-3x1622-3H,1613-3,1622-3H,14A_2,Plant#2,1613-3_1622-3H,1613-3,1622-3H,3,22.0338265459772,14.5608680097427,-20.9115656754828,2
SM:118_S122_R1_001,118_S122_R1_001,118_3J-16A-1,118,88,1,5,12,118,3J,16A,1622,1,1613-3x1622-3J,1613-3,1622-3J,16A_1,Plant#1,1613-3_1622-3J,1613-3,1622-3J,3,7.67719645125584,19.0489208441257,-29.0550237759651,2
SM:121_S64_R1_001,121_S64_R1_001,121_30A-218A-8,121,91,1,5,15,121,30A,218A,1622,8,1613-30x1622-30A,1613-30,1622-30A,218A_8,plant#8,1613-30_1622-30A,1613-30,1622-30A,30,35.8086869175746,-14.8224381384687,69.6265285070098,2
SM:123_S76_R1_001,123_S76_R1_001,123_30E-222A-2,123,92,1,5,16,123,30E,222A,1622,2,1613-30x1622-30E,1613-30,1622-30E,222A_2,Plant#2,1613-30_1622-30E,1613-30,1622-30E,30,6.58063019383154,-60.2799510262308,-4.42756395718477,1
SM:124_S88_R1_001,124_S88_R1_001,124_30L-228A-2,124,93,1,5,17,124,30L,228A,1622,2,1613-30x1622-30L,1613-30,1622-30L,228A_2,Plant#2,1613-30_1622-30L,1613-30,1622-30L,30,7.83900742583053,8.74677012787802,29.9012665133315,2
SM:125_S99_R1_001,125_S99_R1_001,125_30B-219A-2,125,94,1,5,18,125,30B,219A,1622,2,1613-30x1622-30B,1613-30,1622-30B,219A_2,Plant#2,1613-30_1622-30B,1613-30,1622-30B,30,26.4120962214629,-10.3249136459259,24.3175215160198,2
SM:126_S111_R1_001,126_S111_R1_001,126_32D-236A-,126,95,1,5,19,126,32D,236A,1622,0,1613-32x1622-32D,1613-32,1622-32D,236A_0,Plant#0,1613-32_1622-32D,1613-32,1622-32D,32,-62.260167051073,20.0561555807744,5.87991299363291,3
SM:128_S123_R1_001,128_S123_R1_001,128_4B-18A-1,128,96,1,6,1,128,4B,18A,1622,1,1613-4x1622-4B,1613-4,1622-4B,18A_1,Plant#1,1613-4_1622-4B,1613-4,1622-4B,4,34.5832222543075,23.148639719771,5.47710173309353,2
SM:129_S41_R1_001,129_S41_R1_001,129_4C-19A-2,129,97,1,6,2,129,4C,19A,1622,2,1613-4x1622-4C,1613-4,1622-4C,19A_2,Plant#2,1613-4_1622-4C,1613-4,1622-4C,4,29.9726860479291,16.6445620554912,5.0674892596092,2
SM:130_S53_R1_001,130_S53_R1_001,130_4D-20A-8,130,98,1,6,3,130,4D,20A,1622,8,1613-4x1622-4D,1613-4,1622-4D,20A_8,plant#8,1613-4_1622-4D,1613-4,1622-4D,4,28.4229306815541,30.4230324164406,-5.09874166546912,2
SM:131_S65_R1_001,131_S65_R1_001,131_4G-23A-1,131,99,1,6,4,131,4G,23A,1622,1,1613-4x1622-4G,1613-4,1622-4G,23A_1,Plant#1,1613-4_1622-4G,1613-4,1622-4G,4,16.0802785807583,23.1881838131875,11.4401309888427,2
SM:133_S77_R1_001,133_S77_R1_001,133_4L-27A-2,133,100,1,6,5,133,4L,27A,1622,2,1613-4x1622-4L,1613-4,1622-4L,27A_2,Plant#2,1613-4_1622-4L,1613-4,1622-4L,4,34.1955434949023,22.0853353972423,7.2642626537256,2
SM:134_S89_R1_001,134_S89_R1_001,134_4L-27A-,134,101,1,6,6,134,4L,27A,1622,0,1613-4x1622-4L,1613-4,1622-4L,27A_0,Plant#0,1613-4_1622-4L,1613-4,1622-4L,4,33.054139274786,20.2851996250235,7.92904034842117,2
SM:135_S100_R1_001,135_S100_R1_001,135_5A-28A-1,135,102,1,6,7,135,5A,28A,1622,1,1613-5x16225A,1613-5,16225A,28A_1,Plant#1,1613-5_16225A,1613-5,16225A,5,32.3744404730164,14.391926942563,23.810113530961,2
SM:138_S112_R1_001,138_S112_R1_001,138_5I-34A-8,138,103,1,6,8,138,5I,34A,1622,8,1613-5x1622-5I,1613-5,1622-5I,34A_8,plant#8,1613-5_1622-5I,1613-5,1622-5I,5,37.7870397676061,-18.728782222852,88.3846838316187,2
