Roza2019_ID,Plant_ID
296_30-223B-,296
271_26-195B-10,271
321_5-31B-1,321
229_19-152B-2,229
285_2-3B-2,285
316_4-25B-1,316
267_26-193B-1,267
255_23-184B-1,255
298_30-227B-,298
227_18-141B-,227
248_22-179B-1,248
240_20-161B-10,240
241_20-161B-12,241
297_30-224B-2,297
325_5-33B-2,325
280_29-217B-1,280
232_19-148B-12,232
287_2-4B-2-B,287
319_5-34B-1,319
250_22-173B-,250
239_20-161B-9,239
224_18-139B-1,224
284_2-3B-1,284
268_26-194B-2,268
218_17-131B-2,218
235_2-8B-1,235
311_4-19B -1,311
215_17-133B-1,215
247_22-176 B-1,247
225_18-139B-2,225
263_25-188B-1,263
282_29-214B-2,282
233_19-154B-2,233
265_26-195B-1,265
269_26-194B-9,269
217_17-126B-9,217
320_5-30B-1,320
322_5-31B-2,322
238_20-161B-8,238
244_21-168B-2,244
302_32-244B-1,302
299_30-228B-1,299
266_26-198B-1,266
272_26-195B-15,272
286_2-4B-2-A,286
219_17-132B-1,219
201_15-109A-2,201
231_19-148B-10,231
226_18-140B-1,226
245_21-169B-1,245
207_16-124B -1,207
214_17-136B-1,214
208_16-124B-2,208
295_30-222B-2,295
264_26-194 B-1,264
200_15-109B-1,200
251_22-175B-2,251
204_15-112B-11,204
300_32-240B-1,300
253_22-178B-1,253
305_3-13B-2,305
242_20-164B-1,242
243_21-168B-1,243
314_4-24B-8,314
234_1-2B-2,234
274_26-196B-2,274
304_3-11B-1,304
249_22-173B-2,249
206_16-118B-1,206
315_4-25B-2,315
291_30-227B-1,291
199_15-108B-2,199
210_16-121B-1,210
303_3-11B-2,303
309_3-17B-2,309
275_26-196B-,275
288_2-5B-2,288
252_22-176B-2,252
211_16-121B-2,211
273_26-195B-12,273
312_4-21B-8,312
332_6-46B-1,332
452_5I-34A-3,452
454_6B-39A-4,454
328_6-41B-2,328
400_22F-176A-7,400
441_31F-232A-5,441
456_6H-44A-4,456
351_14E-105A-4,351
364_15G-113A-4,364
326_6-47B-1,326
363_15F-112A-5,363
423_28D-206A-7,423
442_31F-232A-6,442
361_15F-112A-6,361
358_15A-108A-4,358
461_10-76B-7,461
360_15F-112A-3,360
376_18F-142A-4,376
383_19J-153A-5,383
331_6-44B-1,331
384_19K-154A-3,384
355_15A-108A-6,355
357_15A-108A-7,357
437_30B-219A-7,437
447_5B-29A-3,447
459_9G-70A-4,459
362_15F-112A-7,362
438_30L-228A-4,438
380_19C-149A-4,380
353_14F-106A-3,353
453_6B-39A-6,453
385_19K-154A-5,385
343_10D-77A-7,343
327_6-41B -1,327
387_2D-4A-3,387
333_6-47B-2,333
344_11B-82A-4,344
386_2D-4A-4,386
334_7-57B-1,334
339_9-69B-1,339
381_19C-149A-5,381
368_17H-132A-6,368
330_6-43B-10,330
350_14C-104A-4,350
342_9-70B-,342
446_5 I-34A-4,446
420_28B-204A-5,420
427_29C-213A-5,427
457_7A-48A-3,457
366_17F-130A-5,366
335_7-48B-1,335
393_21A-166A-3,393
397_22F-176A-4,397
450_5E-31A-6,450
367_17F-130A-6,367
389_20H-161A-3,389
378_19B-148A-3,378
369_17H-132A-4,369
428_29C-213A-6,428
432_3J-16A-3,432
390_20H-161A-6,390
414_26E-196A-5,414
449_5E-31A-5,449
371_18C-139A-6,371
439_30L-228A-3,439
375_18F-142A-3,375
411_26D-195A-4,411
370_18C-139A-4,370
372_18D-140A-6,372
413_26D-195A-8,413
338_9-67B-1,338
337_9-72B-1,337
425_28D-206A-4,425
422_28D-206A-6,422
416_26E-196A-4,416
379_19C-149A-7,379
356_15A-108A-3,356
451_5E-31A-7,451
436_30B-219A-4,436
382_19J-153A-6,382
435_30A-218A-5,435
404_23A-182A-4,404
374_18D-140A-4,374
440_31A-229A-3,440
373_18D-140A-7,373
421_28D-206A-3,421
392_21 I-170A-4,392
405_23D-184A-6,405
410_26D-195A-3,410
408_23F-186A-7,408
391_20H-161A-7,391
402_22G-177A-3,402
401_22F-176A-3,401
354_15 I-114A-4,354
409_26A-192A-4,409
406_23D-184A-7,406
479_13-99B-4,479
489_15-108B-4,489
537_23-182B-6,537
525_21-171B-4,525
509_18-140B-3,509
494_15-112B-4,494
575_30-227B-5,575
596_6-38B-7,596
533_22-178B-3,533
561_28-211B-3,561
506_18-139B-7,506
499_16-119B-7,499
482_13-101B-5,482
512_19-148B-4,512
603_7-49B-3,603
470_10-81B-5,470
492_15-108B-5,492
601_7-48B-3,601
487_15-108B-6,487
504_18-139B-5,504
535_22-178B-6,535
528_22-176B-3,528
581_3-10B-4,581
505_18-139B-6,505
480_13-99B-3,480
481_13-100B-3,481
508_18-139B-3,508
485_14-103B-7,485
593_5-31B-7,593
493_15-112B-5,493
488_15-108B-7,488
582_3-10B-3,582
483_14-103B-4,483
478_13-102B-4,478
540_23-183B-3,540
521_21-169B-3,521
576_30-227B-6,576
513_19-153B-3,513
527_22-179B-3,527
529_22-176B-4,529
515_20-160B-4,515
532_22-178B-4,532
503_17-133B-5,503
536_23-182B-4,536
466_10-77B-4,466
510_18-147B-4,510
498_16-124B-4,498
548_26-194B-8,548
586_3-13B-3,586
559_28-206B-7,559
544_23-184B-7,544
557_26-201B-3,557
543_23-184B-3,543
502_17-133B-3,502
490_15-108B-3,490
551_26-196B-5,551
556_26-201B-5,556
522_21-169B-4,522
524_21-169B-7,524
518_20-161B-3,518
577_31-231B-3,577
558_28-206B-5,558
514_15-153B-4,514
587_3-16B-5,587
496_15-113B-5,496
511_18-147B-3,511
584_3-11B-5,584
507_18-139B-4,507
495_15-113B-3,495
486_14-103B-5,486
475_11-86B-7,475
588_3-16B-4,588
550_26-196B-4,550
476_11-86B-5,476
465_10-77B-6,465
519_20-164B-5,519
542_23-184B-4,542
462_10-76B-8,462
594_5-31B-4,594
552_26-196B-6-A,552
530_22-176B-5,530
467_10-79B-4,467
464_10-77B-5,464
570_30-218B-4,570
600_7-48B-4,600
477_11-86B-4,477
564_2-5B-5-B,564
585_3-11B-7,585
553_26-196B-6-B,553
469_10-81B-7,469
549_26-195B-4,549
555_26-201B-4,555
598_6-41B-6,598
572_20-223B-4,572
565_2-5B-5-A,565
599_6-43B-3,599
1_10B-75A-,1
4_10D-77A-14,4
5_10D-77A-11,5
6_10D-77A-12,6
7_10E -78A-1,7
9_11 F-86A-2,9
12_11B-82A-10,12
13_11B-82A-18,13
14_11F-86A-11,14
15_13A-95A-1,15
16_13C-96A-1,16
17_13D-97A-1,17
18_13D-97A-2,18
19_13F-99A-2,19
20_14C-104A-8,20
22_14K-107A-2,22
23_15 I-114A-1,23
24_15A-108A-1,24
25_15A-108A-9,25
26_15B-109A-1,26
27_15D-110A-1,27
28_15F-112A-8,28
29_15G-113A-15,29
30_15G -113A-1,30
32_15J-115A-2,32
33_15L-116A-1,33
34_15-113B-2,34
36_15G-113A-8,36
37_16 E -121A-1,37
40_16D-120A-1,40
41_16D-120A-2,41
42_16E-121A-2,42
44_17E-129A-1,44
46_17F-130A-1,46
47_17F-130A-2,47
48_17L-136A-,48
49_ 18E-141A-1,49
50_18A-137A-8,50
51_18C-139A-2,51
52_18C-139A-8,52
53_18D-140A-1,53
54_18D-140A-2,54
55_18E-141A-2,55
56_18F-142A-1,56
57_18F-142A-2,57
59_19C-149A-1,59
60_19C-149A-2,60
62_2-4A-1,62
605_9-69B-3,605
607_9-70B-4,607
608_23F-186A-2,608
609_29B-212-A-2,609
198_14-107B-2,198
212_16-123B-8,212
213_17-133B-2,213
220_17-132B-2,220
223_18-137B-2,223
230_19-148B-2,230
236_20-162B-2,236
257_23-182B-10,257
262_23-186B-9,262
306_3-13B-9,306
307_3-16B-2,307
308_3-16B-11,308
318_4-27B-1,318
324_5-33B-1,324
326_6-47B-1,326
328_6-41B-2,328
332_6-46B-1,332
351_14E-105A-4,351
358_15A-108A-4,358
360_15F-112A-3,360
361_15F-112A-6,361
363_15F-112A-5,363
364_15G-113A-4,364
376_18F-142A-4,376
383_19J-153A-5,383
400_22F-176A-7,400
423_28D-206A-7,423
441_31F-232A-5,441
442_31F-232A-6,442
452_5I-34A-3,452
454_6B-39A-4,454
456_6H-44A-4,456
461_10-76B-7,461
479_13-99B-4,479
489_15-108B-4,489
494_15-112B-4,494
506_18-139B-7,506
509_18-140B-3,509
525_21-171B-4,525
533_22-178B-3,533
537_23-182B-6,537
561_28-211B-3,561
575_30-227B-5,575
596_6-38B-7,596
63_2C-3A-2,63
64_2D-4A-2,64
65_2E-5A-2,65
66_2L-9A-1,66
67_20H-161A-2,67
68_20H-161A-17-1,68
69_20H-161A-2,69
70_21A-166A-2,70
72_21G -169A-1,72
74_21K-171A-9,74
76_21K -171A -1,76
77_22 I-179A-1,77
79_22 I-179A-2,79
81_22F-176A-2,81
82_22F-176A-8,82
83_22F-176A-9,83
85_22H-178A-2,85
87_23C-183A-10,87
88_23C-183A-12,88
89_23D-184A-1,89
90_23D-184A-2,90
92_25 I-189A-,92
93_25 I -189A-1,93
94_26A-192A-1,94
95_26A-192A-2,95
96_26D-195A-9,96
97_26D-195A-13,97
98_26D-195A-15,98
100_26D-195A-16,100
101_26E-196A-2,101
104_28B-204A-1,104
107_28D-206A-9,107
108_28D-206A-11,108
111_29C-213A-2,111
112_2-4B-1,112
113_3C-11A-2,113
115_3D-12A-2,115
116_3F-13A-,116
117_3H-14A-2,117
118_3J-16A-1,118
119_3J-16A-2,119
120_30A-218A-2,120
121_30A-218A-8,121
123_30E-222A-2,123
124_30L-228A-2,124
125_30B-219A-2,125
126_32D-236A-,126
128_4B-18A-1,128
129_4C-19A-2,129
130_4D-20A-8,130
131_4G-23A-1,131
133_4L-27A-2,133
134_4L-27A-,134
135_5A-28A-1,135
138_5 I-34A-8,138
140_5B -29A-2,140
141_5E-31A-1,141
143_5F-32A-1,143
144_5F-32A-2,144
145_5G-33A-2,145
146_5L-37A-,146
147_6A-38A-1,147
149_6F-42A-8-1,149
150_6F-42A-8-2,150
151_6H-44A-2,151
152_6L-47A-2,152
153_6L-47A-9,153
155_17A-126A-2,155
156_7A-48A-1,156
157_7A-48A-2,157
158_7B-49A-8,158
160_ 8B-59 A-1,160
161_8-64A-2,161
163_8A-58A-1,163
164_9F-69A-9,164
166_1-2B-1,166
168_10-76B-9,168
258_23-183B-9,258
170_10-77B-13,170
172_10-77B-2,172
173_10-81B-2,173
175_11-84 B-1,175
176_11-82B-8,176
178_11-82B-13,178
183_11-87B-2,183
184_11-87B-,184
186_312-93B-1,186
331_6-44B-1,331
499_16-119B-7,499
189_313-102B-2,189
190_13-96B-2,190
191_13-100B-1,191
193_14-107B-1,193
194_14-103B-2,194
195_14-103B-8,195
196_14-104B-1,196
