Name_Field,gen,Repeated,VCF
548_S395_R1_001,548,NR,SM:548_S395_R1_001
549_S407_R1_001,549,NR,SM:549_S407_R1_001
54_S4_R1_001,54,NR,SM:54_S4_R1_001
550_S325_R1_001,550,NR,SM:550_S325_R1_001
551_S337_R1_001,551,NR,SM:551_S337_R1_001
552_S349_R1_001,552,NR,SM:552_S349_R1_001
553_S361_R1_001,553,NR,SM:553_S361_R1_001
555_S373_R1_001,555,NR,SM:555_S373_R1_001
557_S396_R1_001,557,NR,SM:557_S396_R1_001
558_S408_R1_001,558,NR,SM:558_S408_R1_001
559_S326_R1_001,559,NR,SM:559_S326_R1_001
55_S9_R1_001,55,NR,SM:55_S9_R1_001
561_S338_R1_001,561,R,SM:561_S338_R1_001
561_S_006_S433_R1_001,'561_S_006,R,SM:561_S_006_S433_R1_001
564_S350_R1_001,564,NR,SM:564_S350_R1_001
565_S362_R1_001,565,NR,SM:565_S362_R1_001
56_S14_R1_001,56,NR,SM:56_S14_R1_001
570_S374_R1_001,570,NR,SM:570_S374_R1_001
572_S385_R1_001,572,NR,SM:572_S385_R1_001
575_S397_R1_001,575,NR,SM:575_S397_R1_001
576_S409_R1_001,576,NR,SM:576_S409_R1_001
577_S327_R1_001,577,NR,SM:577_S327_R1_001
57_S19_R1_001,57,NR,SM:57_S19_R1_001
581_S339_R1_001,581,NR,SM:581_S339_R1_001
582_S351_R1_001,582,NR,SM:582_S351_R1_001
584_S363_R1_001,584,NR,SM:584_S363_R1_001
585_S375_R1_001,585,NR,SM:585_S375_R1_001
586_S386_R1_001,586,NR,SM:586_S386_R1_001
587_S398_R1_001,587,NR,SM:587_S398_R1_001
588_S410_R1_001,588,NR,SM:588_S410_R1_001
593_S328_R1_001,593,NR,SM:593_S328_R1_001
594_S340_R1_001,594,NR,SM:594_S340_R1_001
596_S352_R1_001,596,NR,SM:596_S352_R1_001
598_S364_R1_001,598,NR,SM:598_S364_R1_001
599_S376_R1_001,599,NR,SM:599_S376_R1_001
59_S23_R1_001,59,NR,SM:59_S23_R1_001
5_S1_R1_001,5,NR,SM:5_S1_R1_001
600_S387_R1_001,600,NR,SM:600_S387_R1_001
601_S399_R1_001,601,NR,SM:601_S399_R1_001
603_S411_R1_001,603,NR,SM:603_S411_R1_001
605_S457_R1_001,605,NR,SM:605_S457_R1_001
607_S469_R1_001,607,NR,SM:607_S469_R1_001
608_S481_R1_001,608,NR,SM:608_S481_R1_001
609_S492_R1_001,609,NR,SM:609_S492_R1_001
60_S27_R1_001,60,NR,SM:60_S27_R1_001
62_S31_R1_001,62,NR,SM:62_S31_R1_001
63_S36_R1_001,63,NR,SM:63_S36_R1_001
64_S47_R1_001,64,NR,SM:64_S47_R1_001
65_S59_R1_001,65,NR,SM:65_S59_R1_001
66_S71_R1_001,66,NR,SM:66_S71_R1_001
67A_S448_R1_001,67A,NR,SM:67A_S448_R1_001
67_S83_R1_001,67,NR,SM:67_S83_R1_001
68A_S460_R1_001,68A,NR,SM:68A_S460_R1_001
68_S95_R1_001,68,NR,SM:68_S95_R1_001
69_S106_R1_001,69,NR,SM:69_S106_R1_001
6_S6_R1_001,6,NR,SM:6_S6_R1_001
70_S118_R1_001,70,NR,SM:70_S118_R1_001
72_S37_R1_001,72,NR,SM:72_S37_R1_001
74B_S472_R1_001,74B,NR,SM:74B_S472_R1_001
74_S48_R1_001,74,NR,SM:74_S48_R1_001
76_S60_R1_001,76,NR,SM:76_S60_R1_001
77_S72_R1_001,77,NR,SM:77_S72_R1_001
79_S84_R1_001,79,NR,SM:79_S84_R1_001
7_S456_R1_001,7,NR,SM:7_S456_R1_001
81_S96_R1_001,81,NR,SM:81_S96_R1_001
82_S107_R1_001,82,NR,SM:82_S107_R1_001
83A_S484_R1_001,83A,NR,SM:83A_S484_R1_001
83B_S495_R1_001,83B,NR,SM:83B_S495_R1_001
83_S119_R1_001,83,NR,SM:83_S119_R1_001
84A_S413_R1_001,84A,NR,SM:84A_S413_R1_001
84B_S425_R1_001,84B,NR,SM:84B_S425_R1_001
85_S38_R1_001,85,NR,SM:85_S38_R1_001
87_S49_R1_001,87,NR,SM:87_S49_R1_001
88_S61_R1_001,88,NR,SM:88_S61_R1_001
89_S73_R1_001,89,NR,SM:89_S73_R1_001
90_S85_R1_001,90,NR,SM:90_S85_R1_001
92_S97_R1_001,92,NR,SM:92_S97_R1_001
93_S108_R1_001,93,NR,SM:93_S108_R1_001
94_S120_R1_001,94,NR,SM:94_S120_R1_001
95B_S437_R1_001,95B,NR,SM:95B_S437_R1_001
95_S39_R1_001,95,NR,SM:95_S39_R1_001
96_S50_R1_001,96,NR,SM:96_S50_R1_001
97_S62_R1_001,97,NR,SM:97_S62_R1_001
98A_S449_R1_001,98A,NR,SM:98A_S449_R1_001
98_S74_R1_001,98,NR,SM:98_S74_R1_001
9_S11_R1_001,9,NR,SM:9_S11_R1_001
