gen,ST0_aug_20,ST0_aug_21,ST0_aug_22,ST0_jul_20,ST0_jul_21,ST0_jul_22,ST0_jun_20,ST0_jun_21,ST0_jun_22,ST0_may_20,ST0_may_21,ST0_sep_20,ST0_sep_21,ST0_sep_22,ST0_total_20,ST0_total_21,ST0_total_22,ST1_aug_20,ST1_aug_21,ST1_aug_22,ST1_jul_20,ST1_jul_21,ST1_jul_22,ST1_jun_20,ST1_jun_21,ST1_jun_22,ST1_may_20,ST1_may_21,ST1_sep_20,ST1_sep_21,ST1_sep_22,ST2_may,ST2_jun,ST2_jul,ST2_aug,ST2_sep,ST3_20,ST3_21,ST3_22,ST4_Yi
44,40.6629168093973,30.0326248046938,30.3062430015808,49.2392123902902,23.8604440734052,37.7456243327514,52.8764171115027,14.9927622038937,73.9368060283817,57.3044066983536,44.4527025234689,13.9095044923513,6.22434544158964,67.5816999686409,211.618402977352,118.423955214036,203.74642753713,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,54.5843473248102,51.4174038282998,41.582427887263,32.2485435112215,23.2662773033509,47.2931116997116,25.5139908280945,47.6692849002489,39.622332302859
46,54.149903748903,32.9126724223335,100.303341082875,56.2399972180067,35.0522158433843,54.1957550532997,75.9800108224075,25.6671260793961,150.780271098857,70.727726242432,45.0831812121195,12.7682891938673,5.89221273673645,56.1711175286973,271.665897434289,135.783467261369,362.759910819397,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,61.9170108227974,60.668756134729,50.6527804648211,41.0130825508241,30.6048492611514,54.0495038790641,32.7735589206722,59.6342782203725,48.0466019200122
47,46.1183661167156,24.5780417924003,30.1954053402712,35.3740080371142,25.9379574136883,30.1162915477666,58.2223084911482,11.1677860322571,71.3156940368648,53.2442537880495,43.2299028271788,10.1212249435674,7.64538002031997,37.890976886621,198.885646577145,113.199681941449,174.373337755052,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,51.6942433578995,47.8090367518289,37.8827342636151,28.4141632186155,19.1522039172042,44.1176586283142,22.5163932028239,42.498160503475,35.9402072263993
48,44.2744736229231,23.568383589918,33.582753947547,51.6907392645087,26.2031865166766,28.7042177573551,49.6368260784165,18.7868917467581,50.1796541055962,46.231588873738,48.2206326663804,15.3712273222707,10.0675162059457,34.8448217874392,200.847327551634,123.744358482176,150.896443000402,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,54.1338003001414,50.4285064582778,40.4344950779666,30.9227339778149,21.7002374141391,46.9048391685155,24.6458190209653,45.2430571093684,38.480394241777
49,45.4709711802975,25.8083085578313,26.9197874308583,39.2149175013107,26.6844235350457,37.6718184145224,78.9021180201075,14.5610899905086,60.1233481952586,55.8919575199765,46.3880389499344,13.5748184871376,6.0878625336191,37.5731418857776,232.274487265262,120.742512085298,162.300300817474,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,53.7357083190104,49.8792023488067,39.7987585674295,30.1252402863998,20.7863678878675,46.5174666059362,23.9024275177084,44.2851633228271,37.8028659935379
50,75.2789800689058,28.3478557241295,28.6074793436124,44.8065179106339,28.1728477563321,39.4201212567261,82.2879064630463,22.5218757493689,98.8796629183884,65.2012146127586,55.021559858133,23.3082211524906,7.15425271395499,45.864499210033,289.230024164321,139.712761610905,217.279057979447,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,59.7862708686967,56.3830715299124,46.1627500821018,36.4997082982479,27.123842490665,53.6841449870566,28.8215282086176,51.388073240451,44.1486184957268
51,31.9365237479326,25.5498296263022,39.8647912355769,41.8191144086219,29.5396168001563,59.1300740221657,63.5705628690168,19.0762035526954,56.3088734616214,67.4281322377155,48.6566510795779,7.78090439627191,8.35788363478797,59.0525937201113,202.366954941079,131.908184527906,211.992789564878,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,55.2573842421054,52.4929692770175,42.4370796776973,32.6008598192129,23.1005840095087,46.8242102190004,26.4268909039572,49.038435304933,40.1720890596086
52,33.0053361069296,21.568925179798,27.4908383844924,54.6790084920078,32.0112010493151,37.759366558087,56.5511814734689,20.1684086826529,65.8683769360558,50.7674995787153,33.7912946861881,13.8292639250612,5.64658345433686,48.5785314330048,202.2084533274,117.686909813352,173.656295072837,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,54.0560448585307,50.7111488962529,40.7049763083497,30.9460722860951,21.7365836950957,46.6240251151619,24.7585361634737,45.8739067203159,38.6006023767458
53,31.1066550180935,27.0131148167583,34.6098568955716,41.3977585471817,28.3706044968686,56.9541662528514,63.8680151350981,19.7171584438278,31.2462908690065,67.3058912417649,48.0989657234685,14.3000595208243,4.08068925951671,44.2642927409299,211.671702377884,128.993120905653,161.805640645381,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,55.2762260856389,51.9190846765984,41.8486763659573,32.0136637100267,22.5608267502414,47.6644896159941,25.6538999566988,47.2468147040711,39.6842290485535
54,42.6839540433271,32.5678257285225,28.5039374948254,24.8752552575618,29.8343168799824,49.41073183124,59.0940706955329,18.0662897374807,45.3052485930788,50.5754675084704,50.2748722927737,10.2385612586223,2.29256395733993,42.4427949116999,177.533828202417,135.264301223524,156.248728999106,40.5024471463778,27.6669666196798,25.5875613907473,53.283697062616,27.5433828270988,42.1076481567135,64.5362808468781,16.5149685150098,72.0270617928651,64.406455156499,44.7892500115347,13.2423230549691,8.31879704782363,44.3167740570894,53.474290089359,50.0131863362761,39.9328151305332,30.1443580345406,20.5892946753185,45.4055752631742,24.302334644931,45.1119982920494,37.7848244791945
