Accession,GEN,Planting_ID,plant,Male_parent_number,MaleParent,cons
503_17-133B-5,503,133B,5,17,1613,367
504_18-139B-5,504,139B,5,18,1613,368
505_18-139B-6,505,139B,6,18,1613,369
506_18-139B-7,506,139B,7,18,1613,370
507_18-139B-4,507,139B,4,18,1613,371
508_18-139B-3,508,139B,3,18,1613,372
509_18-140B-3,509,140B,3,18,1613,373
510_18-147B-4,510,147B,4,18,1613,374
511_18-147B-3,511,147B,3,18,1613,375
512_19-148B-4,512,148B,4,19,1613,376
513_19-153B-3,513,153B,3,19,1613,377
514_15-153B-4,514,153B,4,15,1613,378
515_20-160B-4,515,160B,4,20,1613,379
518_20-161B-3,518,161B,3,20,1613,380
519_20-164B-5,519,164B,5,20,1613,381
521_21-169B-3,521,169B,3,21,1613,382
522_21-169B-4,522,169B,4,21,1613,383
524_21-169B-7,524,169B,7,21,1613,384
525_21-171B-4,525,171B,4,21,1613,385
527_22-179B-3,527,179B,3,22,1613,386
528_22-176B-3,528,176B,3,22,1613,387
529_22-176B-4,529,176B,4,22,1613,388
530_22-176B-5,530,176B,5,22,1613,389
532_22-178B-4,532,178B,4,22,1613,390
533_22-178B-3,533,178B,3,22,1613,391
535_22-178B-6,535,178B,6,22,1613,392
536_23-182B-4,536,182B,4,23,1613,393
537_23-182B-6,537,182B,6,23,1613,394
540_23-183B-3,540,183B,3,23,1613,395
542_23-184B-4,542,184B,4,23,1613,396
543_23-184B-3,543,184B,3,23,1613,397
544_23-184B-7,544,184B,7,23,1613,398
548_26-194B-8,548,194B,8,26,1613,399
549_26-195B-4,549,195B,4,26,1613,400
550_26-196B-4,550,196B,4,26,1613,401
551_26-196B-5,551,196B,5,26,1613,402
552_26-196B-6-A,552,196B,6-A,26,1613,403
553_26-196B-6-B,553,196B,6-B,26,1613,404
555_26-201B-4,555,201B,4,26,1613,405
556_26-201B-5,556,201B,5,26,1613,406
557_26-201B-3,557,201B,3,26,1613,407
558_28-206B-5,558,206B,5,28,1613,408
559_28-206B-7,559,206B,7,28,1613,409
561_28-211B-3,561,211B,3,28,1613,410
564_2-5B-5-B,564,5B,5-B,2,1613,411
565_2-5B-5-A,565,5B,5-A,2,1613,412
570_30-218B-4,570,218B,4,30,1613,413
572_20-223B-4,572,223B,4,20,1613,414
575_30-227B-5,575,227B,5,30,1613,415
576_30-227B-6,576,227B,6,30,1613,416
577_31-231B-3,577,231B,3,31,1613,417
581_3-10B-4,581,10B,4,3,1613,418
582_3-10B-3,582,10B,3,3,1613,419
584_3-11B-5,584,11B,5,3,1613,420
585_3-11B-7,585,11B,7,3,1613,421
586_3-13B-3,586,13B,3,3,1613,422
587_3-16B-5,587,16B,5,3,1613,423
588_3-16B-4,588,16B,4,3,1613,424
593_5-31B-7,593,31B,7,5,1613,425
594_5-31B-4,594,31B,4,5,1613,426
596_6-38B-7,596,38B,7,6,1613,427
598_6-41B-6,598,41B,6,6,1613,428
599_6-43B-3,599,43B,3,6,1613,429
600_7-48B-4,600,48B,4,7,1613,430
601_7-48B-3,601,48B,3,7,1613,431
605_9-69B-3,605,69B,3,9,1613,432
607_9-70B-4,607,70B,4,9,1613,433
608_23F-186A-2,608,186A,2,23F,1622,434
609_29B-212-A-2,609,212,A-2,29B,1622,435
603_7-49B-3,603,49B,3,7,1613,436
