general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA,fastp
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,145,7420973,7420973,32.7,0,61.68,0,40,101,2000000,0,8.5,0,88.18,0,0,0,0.11,0.01,3.2,4542936
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,146,5282106,5282106,35.1,0.15,55.99,0.1,39,101,2000000,0,9.54,0,88.08,0,0,0,0.14,0.04,2.2,5300569
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,147,4544664,4544664,36,0.08,52.28,0.04,40,101,2000000,0,10.74,0,86.4,0,0,0,0.08,0.08,2.7,7434484
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,149,5302652,5302652,36,0.18,52.96,0.11,40,101,2000000,0,11.54,0,85.89,0.01,0,0,0.12,0.02,2.42,5132314
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,15,8019144,8019144,35.5,0.15,52.96,0.05,40,101,2000000,0,10.46,0,86.77,0.01,0,0,0.18,0.06,2.52,4839367
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,150,5134563,5134563,36,0.16,54.32,0.08,40,101,2000000,0,9.44,0,87.36,0,0,0,0.17,0.04,2.99,4016157
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,151,4849767,4849767,35.9,0.29,55,0.21,40,101,2000000,0,10.08,0,87.47,0,0,0,0.02,0.1,2.33,4355011
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,152,4021082,4021082,36,0.15,56.9,0.09,39,101,2000000,0,8.95,0,87.7,0,0,0,0.21,0.08,3.06,4732666
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,153,4356618,4356618,35.8,0.19,53.92,0.12,40,101,2000000,0,11.28,0,85.48,0,0,0,0.12,0.05,3.07,4420630
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,155,4735505,4735505,35,0.12,53.16,0.09,40,101,2000000,0,15.84,0,81.51,0,0,0,0.14,0.08,2.43,4045949
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,156,4437302,4437302,34.9,0.46,55.82,0.44,40,101,2000000,0,12.17,0,84.76,0,0,0,0.1,0.07,2.9,3781141
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,157,4047508,4047508,35.8,0.21,54.54,0.19,39,101,2000000,0,9.44,0,88.24,0,0,0,0.14,0.02,2.16,4005338
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,158,3806576,3806576,35.8,0.81,53.28,0.81,40,101,2000000,0,10.76,0,85.59,0,0,0,0.02,0.18,3.45,8012548
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,15B,4006637,4006637,35.9,0.1,45.03,0.06,40,101,2000000,0.01,15.13,0,82.23,0,0,0,0.03,0.16,2.44,3886813
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,16,5937413,5937413,35.4,0.1,55.52,0.05,39,101,2000000,0,7.19,0,89.88,0,0,0,0.13,0.06,2.74,4720444
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,160,3867244,3867244,35.9,0.21,50.14,0.14,41,101,2000000,0,12.75,0,83.12,0,0,0,0.17,0.05,3.91,3376653
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1608.02,3888698,3888698,35.9,0.17,48.14,0.11,41,101,2000000,0,10.87,0,86.34,0,0,0,0.11,0.03,2.65,5016450
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1608.05,4722105,4722105,36,0.08,46.38,0.05,40,101,2000000,0,10.24,0,87.04,0,0,0,0.03,0.12,2.57,3294817
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1608.14,3377900,3377900,35.9,0.12,43.73,0.06,41,101,2000000,0,11.06,0,84.91,0,0,0,0.01,0.08,3.94,3507213
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1608.15,5018437,5018437,35.9,0.14,47.08,0.09,40,101,2000000,0,8.21,0,89.2,0,0,0,0.04,0.14,2.41,3130227
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1608.19,3296195,3296195,36,0.22,45.27,0.15,42,101,2000000,0,8.77,0,88.81,0,0,0,0.12,0.01,2.29,3865820
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1608.23,3508418,3508418,36,0.11,45.73,0.07,41,101,2000000,0,5.99,0,90.5,0,0,0,0.2,0.06,3.25,2677124
